Социально-экономические показатели по субъектам Российской Федерации;;;;;
13. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ ДЕЯТЕЛЬНОСТИ МАЛЫХ ПРЕДПРИЯТИЙ;;;;;
12.3.3. Среднесписочная численность работников  (без внешних совместителей)1);;;;;
(тысяч человек);;;;;
;2010;2015;2016;2017;
Российская Федерация;9790,2;10377,6;10055,9;10854,7;
"Центральный
федеральный округ";2855,0;3077,9;3095,4;3378,7;
Белгородская область;93,6;101,0;104,6;108,1;
Брянская область;75,3;75,3;62,7;74,1;
Владимирская область;114,5;112,6;106,8;109,2;
Воронежская область;141,9;203,8;194,3;210,5;
Ивановская область;88,8;91,1;88,3;89,3;
Калужская область;82,4;79,5;79,4;79,9;
Костромская область;59,1;55,7;43,1;46,4;
Курская область;60,9;57,5;56,2;56,6;
Липецкая область;80,7;74,1;83,4;84,9;
Московская область ;430,7;457,2;485,7;526,9;
Орловская область;48,7;48,6;42,8;47,4;
Рязанская область;86,0;92,0;70,9;79,6;
Смоленская область;73,9;75,1;75,9;76,4;
Тамбовская область;62,6;56,8;56,8;56,0;
Тверская область;104,5;97,4;76,0;95,0;
Тульская область;108,8;99,9;102,9;109,1;
Ярославская область;112,7;105,8;80,2;85,4;
г. Москва;1029,8;1194,4;1285,5;1443,9;
"Северо-Западный
федеральный округ";1161,7;1337,6;1217,4;1274,6;
Республика Карелия;51,8;49,6;36,4;51,2;
Республика Коми;67,8;56,3;43,4;45,8;
Архангельская область;80,6;77,4;61,7;66,9;
в том числе: ;;;;;
Ненецкий автономный округ;2,8;2,2;1,8;1,8;
Архангельская область без автономного округа;77,8;75,2;60,0;65,1;
Вологодская область;98,4;89,2;96,2;91,9;
Калинингpадская область;90,6;101,7;123,0;124,8;
Ленинградская область;89,2;99,4;115,5;114,5;
Мурманская область;57,5;47,9;40,5;45,1;
Новгородская область;49,2;42,3;37,2;33,9;
Псковская область;54,6;49,3;42,0;52,2;
г. Санкт-Петербург;522,1;724,5;621,3;648,3;
Южный        федеральный округ;853,5;925,7;878,7;955,4;
Республика Адыгея;21,4;22,4;20,7;20,2;
Республика Калмыкия;8,4;8,5;6,8;7,6;
Республика Крым;;75,0;75,7;78,4;
Краснодарский край;321,3;343,4;322,1;352,3;
Астраханская область;56,1;48,6;43,2;42,7;
Волгоградская область;161,4;138,6;122,3;136,0;
Ростовская область;285,0;265,4;261,8;292,6;
г. Севастополь;;23,8;26,1;25,6;
Северо-Кавказский федеральный округ;234,8;228,4;253,0;261,3;
Республика Дагестан;22,1;23,3;48,1;45,6;
Республика Ингушетия;3,2;2,7;3,6;3,7;
Кабардино-Балкарская Республика;19,9;17,6;18,6;18,8;
Карачаево-Черкесская Республика;14,6;11,0;10,1;10,4;
Республика Северная Осетия – Алания;25,6;22,1;19,3;21,4;
Чеченская Республика;7,8;22,5;25,2;23,0;
Ставропольский край;141,5;129,1;128,1;138,3;
Приволжский федеральный округ;2111,5;2118,9;2098,6;2268,6;
Республика Башкортостан;246,6;271,5;275,9;306,2;
Республика Марий Эл;46,1;47,6;43,9;42,4;
Республика Мордовия;50,0;44,8;40,1;42,3;
Республика Татарстан;299,5;300,1;332,5;332,6;
Удмуртская Республика;105,5;115,0;111,0;115,6;
Чувашская Республика;83,5;82,3;77,5;77,3;
Пермский край;187,3;198,9;157,9;201,8;
Кировская область;119,6;107,3;108,6;101,3;
Нижегородская область;284,4;268,7;324,3;341,6;
Оренбургская область;110,3;109,8;107,2;125,3;
Пензенская область;87,7;83,1;74,5;103,0;
Самарская область;255,2;266,9;234,8;264,1;
Саратовская область;144,4;141,0;128,6;133,5;
Ульяновская область;91,4;81,8;81,9;81,7;
Уральский     федеральный округ;835,6;928,6;886,1;957,6;
Курганская область;53,4;43,2;44,5;37,4;
Свердловская область;303,4;393,2;362,3;434,8;
Тюменская область;241,6;243,7;245,6;251,4;
в том числе:;;;;;
Ханты-Мансийский    автономный округ – Югра;92,2;93,4;97,2;101,3;
Ямало-Ненецкий автономный округ;25,8;21,9;25,1;25,4;
Тюменская область    без автономных округов;123,6;128,4;123,3;124,7;
Челябинская область;237,2;248,6;233,6;234,1;
Сибирский федеральный округ;1298,6;1304,1;1164,8;1286,0;
Республика Алтай;11,6;10,1;7,0;8,0;
Республика Бурятия;46,4;41,4;33,8;34,1;
Республика Тыва;6,2;5,4;5,2;3,4;
Республика Хакасия;28,2;26,8;19,4;22,5;
Алтайский край;171,8;154,0;145,1;150,9;
Забайкальский край;41,4;43,7;33,9;33,5;
Красноярский край;188,3;191,4;195,6;187,8;
Иркутская область;155,2;161,7;144,9;166,7;
Кемеровская область;190,2;169,2;160,5;170,0;
Новосибирская область;251,5;294,3;211,6;306,5;
Омская область;135,2;129,5;141,9;128,6;
Томская область;72,6;76,5;65,9;73,9;
Дальневосточный федеральный округ;439,2;455,9;462,0;472,4;
Республика Саха (Якутия);44,8;43,3;42,6;43,4;
Камчатский край;26,3;22,4;18,3;22,9;
Приморский край;153,8;158,4;152,2;150,2;
Хабаровский край;96,8;114,9;141,1;146,1;
Амурская область;47,6;48,5;49,0;50,1;
Магаданская область;13,0;10,8;10,5;10,4;
Сахалинская область;45,4;46,4;39,8;40,4;
Еврейская автономная область;10,2;9,3;7,3;6,8;
Чукотский автономный округ;1,2;2,1;1,1;2,1;
?????;;;;;
"1) За 2010, 2015 гг. -по данным сплошных федеральных статистических наблюдений за деятельностью субъектов  малого и среднего предпринимательства, за 2016-2017 гг. - по данным выборочных обследований малых предприятий и микропредприятий. 
Данные за 2016 г. сформированы без учета изменений критериев отнесения организаций к субъектам малого и среднего предпринимательства, установленных Федеральными законами от 29.12.2015 № 408-ФЗ, от 23.06.2016 № 222-ФЗ, от 03.07.2016 № 265-ФЗ и постановления Правительства РФ от 4 апреля 2016 г.  №265; за 2017 г. - без учета изменений критериев отнесения организаций к субъектам малого и среднего предпринимательства, установленных Федеральными законами от 23 июня 2016 г. №222-ФЗ,  от 3 июля 2016 г. №265-ФЗ, от 26 июля 2017 г. №207-ФЗ.";;;;;
