Социально-экономические показатели по субъектам Российской Федерации;;;;;
13. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ ДЕЯТЕЛЬНОСТИ МАЛЫХ ПРЕДПРИЯТИЙ;;;;;
12.3.4. Оборот1) малых предприятий;;;;;
(миллиардов  рублей);;;;;
;2010;2015;2016;2017;
Российская Федерация;18933,8;44124,3;38877,0;48459,2;
"Центральный
федеральный округ";7058,8;16412,7;15861,7;21246,6;
Белгородская область;158,4;465,9;465,9;504,0;
Брянская область;103,9;195,5;180,1;236,8;
Владимирская область;159,4;265,3;269,9;296,7;
Воронежская область;284,2;853,7;724,3;794,8;
Ивановская область;130,5;326,4;310,6;328,2;
Калужская область;118,2;232,2;238,4;269,7;
Костромская область;67,4;135,3;110,6;142,2;
Курская область;80,0;179,3;195,1;238,9;
Липецкая область;128,0;250,5;255,1;279,1;
Московская область ;966,9;1941,7;1476,9;2006,3;
Орловская область;57,5;128,3;114,3;137,6;
Рязанская область;121,7;313,2;211,6;266,1;
Смоленская область;115,2;264,6;253,4;273,3;
Тамбовская область;82,6;191,3;200,5;225,8;
Тверская область;138,1;273,2;190,6;276,6;
Тульская область;163,4;350,7;317,2;374,4;
Ярославская область;186,1;408,8;293,2;304,0;
г. Москва;3997,6;9636,8;10054,0;14292,1;
"Северо-Западный
федеральный округ";2471,5;6933,2;4977,8;5811,7;
Республика Карелия;69,7;125,5;113,9;135,0;
Республика Коми;106,9;147,3;121,5;137,2;
Архангельская область;121,4;197,5;157,4;189,1;
в том числе: ;;;;;
Ненецкий автономный округ;4,0;6,3;3,6;3,8;
Архангельская область без автономного округа;117,4;191,2;153,8;185,3;
Вологодская область;146,3;308,5;264,8;296,9;
Калинингpадская область;156,3;363,0;363,6;424,1;
Ленинградская область;161,7;330,4;270,1;299,8;
Мурманская область;99,6;202,9;158,6;177,1;
Новгородская область;61,4;97,5;107,4;85,9;
Псковская область;63,9;124,0;103,0;142,4;
г. Санкт-Петербург;1484,3;5036,6;3317,5;3924,3;
Южный        федеральный округ;1325,2;3059,8;2803,2;3800,6;
Республика Адыгея;32,0;54,7;48,8;57,4;
Республика Калмыкия;9,4;19,3;10,3;11,9;
Республика Крым;;180,5;155,7;192,8;
Краснодарский край;514,6;1297,1;1104,8;1790,4;
Астраханская область;54,0;112,7;99,0;108,6;
Волгоградская область;229,7;438,2;334,4;513,6;
Ростовская область;485,6;894,5;956,4;1057,5;
г. Севастополь;;62,8;93,8;68,3;
Северо-Кавказский федеральный округ;375,2;700,4;927,0;1016,1;
Республика Дагестан;20,4;35,3;192,1;193,1;
Республика Ингушетия;3,9;12,5;15,6;13,0;
Кабардино-Балкарская Республика;24,9;50,7;47,3;50,6;
Карачаево-Черкесская Республика;18,3;25,9;20,4;31,8;
Республика Северная Осетия – Алания;29,2;45,8;44,8;45,9;
Чеченская Республика;45,6;89,0;102,6;85,8;
Ставропольский край;232,8;441,2;504,2;595,8;
Приволжский федеральный округ;3070,8;6973,5;5863,0;6682,4;
Республика Башкортостан;351,7;684,6;705,1;723,8;
Республика Марий Эл;59,5;147,8;144,6;167,9;
Республика Мордовия;54,7;93,7;92,9;125,3;
Республика Татарстан;435,1;1132,9;957,9;964,5;
Удмуртская Республика;150,4;406,0;332,0;345,9;
Чувашская Республика;96,4;178,1;161,9;179,0;
Пермский край;321,7;845,0;575,1;695,4;
Кировская область;159,2;283,3;267,0;280,4;
Нижегородская область;454,9;977,9;834,2;1075,2;
Оренбургская область;130,3;285,5;244,7;264,1;
Пензенская область;107,4;232,1;211,3;285,3;
Самарская область;443,1;1014,9;777,8;869,3;
Саратовская область;175,9;424,3;361,7;420,4;
Ульяновская область;130,5;267,4;196,9;285,8;
Уральский     федеральный округ;1707,2;3670,4;3004,3;3614,9;
