Социально-экономические показатели по субъектам Российской Федерации;;;;;
13. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;
ИНДИВИДУАЛЬНОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ ДЕЯТЕЛЬНОСТИ  ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ;;;;;
"12.4.4. Выручка от реализации товаров (работ, услуг)1)
";;;;;
"(по данным сплошных федеральных статистических наблюдений за деятельностью субъектов малого и среднего предпринимательства; миллиардов  рублей)";;;;;
;2010;2015;;;
Российская Федерация;4494;7894;;;
Центральный федеральный округ;1159;2024;;;
Белгородская область;73;160;;;
Брянская область;57;85;;;
Владимирская область;61;90;;;
Воронежская область;125;182;;;
Ивановская область;44;55;;;
Калужская область;43;61;;;
Костромская область;45;64;;;
Курская область;59;90;;;
Липецкая область;60;94;;;
Московская область ;122;280;;;
Орловская область;27;53;;;
Рязанская область;55;67;;;
Смоленская область;47;68;;;
Тамбовская область;52;70;;;
Тверская область;41;51;;;
Тульская область;51;72;;;
Ярославская область;54;89;;;
г. Москва;145;394;;;
Северо-Западный федеральный округ;406;670;;;
Республика Карелия;17;23;;;
Республика Коми;40;60;;;
Архангельская область;65;103;;;
в том числе: ;;;;;
Ненецкий автономный округ;2;3;;;
Архангельская область      без автономного округа;63;100;;;
Вологодская область;63;80;;;
Калинингpадская область;37;69;;;
Ленинградская область;42;58;;;
Мурманская область;25;36;;;
Новгородская область;20;26;;;
Псковская область;18;22;;;
г. Санкт-Петербург;79;194;;;
Южный                 федеральный округ;441;1086;;;
Республика Адыгея;8;21;;;
Республика Калмыкия;6;7;;;
Республика Крым;;89;;;
Краснодарский край;181;516;;;
Астраханская область;35;53;;;
Волгоградская область;69;105;;;
Ростовская область;143;271;;;
г. Севастополь;;24;;;
Северо-Кавказский федеральный округ;158;370;;;
Республика Дагестан;6;23;;;
Республика Ингушетия;1;13;;;
Кабардино-Балкарская Республика;37;29;;;
Карачаево-Черкесская Республика;9;13;;;
Республика Северная Осетия – Алания;16;25;;;
Чеченская Республика;16;77;;;
Ставропольский край;73;189;;;
Приволжский федеральный округ;927;1511;;;
Республика Башкортостан;108;234;;;
Республика Марий Эл;17;25;;;
Республика Мордовия;24;17;;;
Республика Татарстан;140;239;;;
Удмуртская Республика;52;96;;;
Чувашская Республика;39;53;;;
Пермский край;120;175;;;
Кировская область;70;95;;;
Нижегородская область;96;111;;;
Оренбургская область;48;96;;;
Пензенская область;73;130;;;
Самарская область;65;65;;;
Саратовская область;46;125;;;
Ульяновская область;31;48;;;
Уральский            федеральный округ;466;720;;;
Курганская область;35;44;;;
Свердловская область;188;297;;;
Тюменская область;126;191;;;
в том числе:;;;;;
Ханты-Мансийский      автономный округ – Югра;57;93;;;
Ямало-Ненецкий автономный округ;27;30;;;
Тюменская область     без автономных округов;43;68;;;
Челябинская область;116;188;;;
Сибирский           федеральный округ;608;963;;;
Республика Алтай;6;8;;;
Республика Бурятия;38;68;;;
Республика Тыва;7;15;;;
Республика Хакасия;32;45;;;
Алтайский край;72;110;;;
Забайкальский край;38;67;;;
Красноярский край;121;151;;;
Иркутская область;64;124;;;
Кемеровская область;61;76;;;
Новосибирская область;51;103;;;
Омская область;85;145;;;
Томская область;32;51;;;
Дальневосточный федеральный округ;328;550;;;
Республика Саха (Якутия);61;114;;;
Камчатский край;25;36;;;
Приморский край;82;155;;;
Хабаровский край;57;98;;;
Амурская область;42;62;;;
Магаданская область;13;21;;;
Сахалинская область;37;48;;;
Еврейская автономная область;9;13;;;
Чукотский автономный округ;1;3;;;
?????;;;;;
1) Включая среднюю численность наемных работников, партнеров, помогающих членов семьи, а также численность самих индивидуальных предпринимателей.;;;;;
