Социально-экономические показатели по субъектам Российской Федерации;;;;;
13. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ ДЕЯТЕЛЬНОСТИ МАЛЫХ ПРЕДПРИЯТИЙ;;;;;
12.3.1. Число малых предприятий1);;;;;
"(на конец года; тысяч)";;;;;
;2010;2015;2016;2017;
Российская Федерация;1644,3;2222,4;2770,6;2754,6;
"Центральный
федеральный округ";484,5;643,0;939,1;974,2;
Белгородская область;17,0;21,2;24,5;23,3;
Брянская область;11,1;12,4;13,9;13,0;
Владимирская область;17,5;20,0;20,4;19,4;
Воронежская область;20,1;32,9;38,0;36,9;
Ивановская область;16,7;18,3;21,7;20,7;
Калужская область;10,7;13,5;15,6;14,6;
Костромская область;7,2;9,3;9,6;9,9;
Курская область;8,0;11,2;11,1;11,1;
Липецкая область;10,9;13,5;14,2;14,4;
Московская область ;68,0;85,5;121,7;126,7;
Орловская область;7,2;8,4;9,9;9,1;
Рязанская область;12,2;17,1;20,5;18,8;
Смоленская область;12,4;14,0;17,4;17,1;
Тамбовская область;8,3;9,6;10,7;11,0;
Тверская область;13,3;17,8;21,8;20,6;
Тульская область;18,4;21,1;22,9;22,1;
Ярославская область;23,6;22,0;28,7;28,6;
г. Москва;201,8;295,2;516,4;556,9;
"Северо-Западный
федеральный округ";221,2;294,1;371,5;379,1;
Республика Карелия;7,6;12,6;12,7;12,8;
Республика Коми;11,3;12,2;10,9;11,1;
Архангельская область;11,8;14,1;14,6;14,5;
в том числе: ;;;;;
Ненецкий автономный округ;0,4;0,4;0,4;0,4;
Архангельская область без автономного округа;11,4;13,7;14,2;14,1;
Вологодская область;14,5;18,9;23,2;26,4;
Калинингpадская область;22,4;27,0;28,3;32,7;
Ленинградская область;12,9;17,6;17,9;17,2;
Мурманская область;9,1;10,7;11,8;11,6;
Новгородская область;6,8;7,3;7,9;8,0;
Псковская область;5,5;8,0;9,9;9,9;
г. Санкт-Петербург;119,4;165,6;234,4;234,8;
Южный        федеральный округ;135,3;200,3;226,3;209,7;
Республика Адыгея;3,4;4,2;4,5;3,8;
Республика Калмыкия;1,6;1,8;1,5;1,9;
Республика Крым;;17,2;22,2;22,3;
Краснодарский край;56,5;81,8;90,3;81,1;
Астраханская область;9,7;10,3;10,1;10,0;
Волгоградская область;26,7;31,4;33,8;28,6;
Ростовская область;37,4;47,9;56,5;54,2;
г. Севастополь;;5,7;7,5;7,9;
Северо-Кавказский федеральный округ;41,5;49,6;53,9;48,1;
Республика Дагестан;3,4;4,6;7,8;6,3;
Республика Ингушетия;0,6;2,9;1,5;1,5;
Кабардино-Балкарская Республика;3,6;4,1;5,3;5,0;
Карачаево-Черкесская Республика;2,8;2,9;3,4;2,5;
Республика Северная Осетия – Алания;4,0;4,7;5,3;4,0;
Чеченская Республика;5,0;4,1;4,8;2,9;
Ставропольский край;22,2;26,1;25,8;26,0;
Приволжский федеральный округ;301,1;425,0;484,0;472,3;
Республика Башкортостан;32,5;46,4;49,6;51,8;
Республика Марий Эл;6,4;9,7;11,0;9,7;
Республика Мордовия;5,6;6,4;7,7;7,1;
Республика Татарстан;41,5;70,8;74,6;75,1;
Удмуртская Республика;17,6;23,5;27,6;25,6;
Чувашская Республика;11,8;15,2;17,5;16,4;
Пермский край;27,3;58,0;60,8;48,3;
Кировская область;15,8;22,9;25,4;22,9;
Нижегородская область;34,3;41,5;51,3;61,6;
Оренбургская область;18,5;19,3;20,8;21,4;
Пензенская область;13,0;15,0;16,9;15,8;
Самарская область;41,9;54,1;70,3;69,1;
Саратовская область;21,8;25,9;31,1;28,7;
Ульяновская область;13,1;16,2;19,6;18,8;
Уральский     федеральный округ;148,4;208,6;254,5;242,2;
Курганская область;6,7;7,4;8,4;8,2;
Свердловская область;63,0;87,3;108,1;104,3;
Тюменская область;39,5;56,7;66,9;60,0;
в том числе:;;;;;
Ханты-Мансийский    автономный округ – Югра;12,9;21,2;25,5;22,4;
Ямало-Ненецкий автономный округ;4,1;4,1;6,2;5,4;
Тюменская область    без автономных округов;22,5;31,3;35,2;32,2;
Челябинская область;39,1;57,1;71,0;69,7;
Сибирский федеральный округ;231,7;296,9;322,5;318,8;
Республика Алтай;2,2;2,9;3,3;3,0;
Республика Бурятия;8,6;10,8;12,2;11,1;
Республика Тыва;1,2;1,3;1,6;1,1;
Республика Хакасия;4,9;6,3;5,6;5,6;
Алтайский край;26,6;32,6;38,2;34,6;
Забайкальский край;5,5;7,4;8,1;7,5;
Красноярский край;32,6;46,7;53,4;51,0;
Иркутская область;23,4;34,2;38,3;38,4;
Кемеровская область;26,7;30,7;34,1;31,3;
Новосибирская область;63,9;78,7;81,4;82,6;
Омская область;21,2;27,3;29,4;30,6;
Томская область;14,8;18,1;16,8;22,1;
Дальневосточный федеральный округ;80,5;104,8;118,8;110,3;
Республика Саха (Якутия);10,1;11,7;11,1;11,3;
Камчатский край;5,0;6,1;6,7;5,7;
Приморский край;29,6;38,8;45,8;42,4;
Хабаровский край;18,7;26,3;29,9;27,7;
Амурская область;5,8;8,8;10,5;10,2;
Магаданская область;2,3;2,5;2,9;2,4;
Сахалинская область;7,5;8,8;10,0;8,9;
Еврейская автономная область;1,3;1,5;1,5;1,3;
Чукотский автономный округ;0,3;0,3;0,4;0,4;
?????;;;;;
"1) За 2010, 2015 гг. -по данным сплошных федеральных статистических наблюдений за деятельностью субъектов  малого и среднего предпринимательства, за 2016-2017 гг. - по данным выборочных обследований малых предприятий и микропредприятий. 
Данные за 2016 г. сформированы без учета изменений критериев отнесения организаций к субъектам малого и среднего предпринимательства, установленных Федеральными законами от 29.12.2015 № 408-ФЗ, от 23.06.2016 № 222-ФЗ, от 03.07.2016 № 265-ФЗ и постановления Правительства РФ от 4 апреля 2016 г.  №265; за 2017 г. - без учета изменений критериев отнесения организаций к субъектам малого и среднего предпринимательства, установленных Федеральными законами от 23 июня 2016 г. №222-ФЗ,  от 3 июля 2016 г. №265-ФЗ, от 26 июля 2017 г. №207-ФЗ.";;;;;
