Социально-экономические показатели по субъектам Российской Федерации;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;
Основные показатели сельского хозяйства;;;;
ИНДЕКСЫ ПРОИЗВОДСТВА ПРОДУКЦИИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;
14.2.3. Продукция животноводства1);;;;
" (в хозяйствах всех категорий; в сопоставимых ценах; в процентах к предыдущему году)  ";;;;
;2005;2016;2017;
Российская Федерация;100,4;101,6;102,6;
Центральный федеральный округ;101,6;103,5;105,9;
Белгородская область;118,9;101,7;104,4;
Брянская область;100,2;107,0;104,2;
Владимирская область;102,2;100,0;99,6;
Воронежская область;92,8;105,2;104,7;
Ивановская область;96,9;102,6;100,3;
Калужская область;95,7;104,8;110,6;
Костромская область;95,1;99,1;101,8;
Курская область;97,0;103,9;108,2;
Липецкая область;107,4;103,2;105,1;
Московская область;107,4;104,3;101,8;
Орловская область;99,1;101,1;102,8;
Рязанская область;99,7;98,2;101,6;
Смоленская область;99,8;109,2;105,7;
Тамбовская область;95,4;101,2;121,3;
Тверская область;97,5;118,5;108,1;
Тульская область;93,7;106,4;111,3;
Ярославская область;100,7;101,3;105,5;
г. Москва;;88,4;104,7;
Северо-Западный федеральный округ;98,4;104,6;104,5;
Республика Карелия;94,7;90,7;88,4;
Республика Коми;99,6;107,1;102,0;
Архангельская область;96,0;93,3;99,9;
в том числе: ;;;;
Ненецкий автономный округ;98,5;136,2;89,8;
Архангельская область без автономного округа;;89,6;101,2;
Вологодская область;96,3;105,4;96,3;
Калининградская область;102,5;105,5;107,5;
Ленинградская область;98,4;99,2;104,1;
Мурманская область;113,1;66,9;108,3;
Новгородская область;103,0;105,3;99,9;
Псковская область;95,0;126,5;118,2;
Южный             федеральный округ;104,4;101,5;102,2;
Республика Адыгея;109,8;83,9;106,2;
Республика Калмыкия;115,4;95,2;98,9;
Республика Крым;;95,0;99,9;
Краснодарский край;104,6;102,8;102,1;
Астраханская область;101,9;106,1;101,5;
Волгоградская область;103,5;103,1;104,1;
Ростовская область;103,2;103,6;103,0;
г. Севастополь;;89,7;84,3;
Северо-Кавказский федеральный округ;102,4;103,4;101,9;
Республика Дагестан;104,0;104,6;104,5;
Республика Ингушетия ;102,0;109,1;100,0;
Кабардино-Балкарская Республика;95,4;101,0;101,0;
Карачаево-Черкесская Республика;99,5;100,4;99,8;
Республика Северная Осетия – Алания;100,7;83,6;98,1;
Чеченская Республика ;110,9;102,7;101,1;
Ставропольский край;103,2;108,5;101,2;
Приволжский федеральный округ;100,1;100,0;100,9;
Республика Башкортостан;100,9;98,5;100,9;
Республика Марий Эл;98,0;91,8;106,8;
Республика Мордовия;104,1;106,0;104,6;
Республика Татарстан;104,4;100,5;100,7;
Удмуртская Республика;103,0;101,5;100,3;
Чувашская Республика;96,5;100,5;106,6;
Пермский край;94,5;97,5;100,3;
Кировская область;97,8;103,7;100,1;
Нижегородская область ;95,2;101,3;97,9;
Оренбургская область;97,0;97,1;96,2;
Пензенская область;101,1;106,8;104,4;
Самарская область;92,8;100,1;100,9;
Саратовская область;106,9;97,8;100,3;
Ульяновская область;102,1;103,9;96,5;
Уральский            федеральный округ;97,6;101,3;101,1;
Курганская область;90,8;98,3;97,4;
Свердловская область ;93,0;99,9;104,0;
Тюменская область;101,2;98,9;102,5;
в том числе:;;;;
Ханты-Мансийский автономный округ – Югра;96,3;101,3;101,7;
Ямало-Ненецкий автономный округ;90,4;99,3;105,5;
Тюменская область без автономных округов;;98,7;102,4;
Челябинская область;102,2;104,1;99,4;
Сибирский         федеральный округ;98,4;98,8;100,2;
Республика Алтай;93,5;98,9;94,8;
Республика Бурятия;100,3;100,0;93,2;
Республика Тыва;91,4;94,6;103,5;
Республика Хакасия;101,3;93,4;100,6;
Алтайский край;95,1;96,6;97,1;
Забайкальский край;98,6;99,5;96,4;
Красноярский край;103,5;103,4;100,8;
Иркутская область;99,6;101,8;100,4;
Кемеровская область;99,2;98,8;98,6;
Новосибирская область ;98,5;102,3;103,1;
Омская область;98,4;95,1;98,9;
Томская область;94,6;92,6;116,0;
Дальневосточный федеральный округ;97,4;100,7;101,3;
Республика Саха (Якутия);100,6;100,4;101,6;
Камчатский край;92,7;102,5;108,9;
Приморский край;101,6;100,5;109,3;
Хабаровский край ;100,0;96,5;88,4;
Амурская область;87,6;101,8;95,7;
Магаданская область;87,3;99,7;102,5;
Сахалинская область;95,9;113,5;115,3;
Еврейская автономная область;86,2;86,8;84,2;
Чукотский автономный округ;117,5;131,4;102,1;
?????;;;;
1) Первая оценка данных с учетом итогов Всероссийской сельскохозяйственной переписи 2016 года. Окончательные данные, пересчитанные с учетом итогов Всероссийской сельскохозяйственной переписи 2016 года, будут опубликованы в официальных изданиях Росстата 2019 года.;;;;
