;Социально-экономические показатели по субъектам Российской Федерации
;20.  ФИНАНСЫ
20.1.;Доходы консолидированных бюджетов субъектов Российской Федерации
20.2.;Расходы консолидированных бюджетов субъектов Российской Федерации 
20.3.;Расходы консолидированных бюджетов субъектов Российской Федерации на реализацию мер социальной поддержки отдельных категорий граждан
20.4.;Исполнение бюджета Пенсионного  фонда Российской Федерации
20.4.1.;Поступление
20.4.2.;Расходование
20.5.;Исполнение бюджета Фонда социального страхования Российской Федерации
20.5.1.;Поступление
20.5.2.;Расходование
20.6.;Исполнение бюджетов территориальных фондов обязательного медицинского страхования
20.6.1.;Поступление
20.6.2.;Расходование
20.7.;Число действующих кредитных организаций
20.8.;Число действующих филиалов кредитных организаций в субъекте
20.9.;Вклады (депозиты) юридических и физических лиц в рублях, привлеченные кредитными организациями
20.9.1.; Всего
20.9.2.;Физических лиц
20.10.;Вклады (депозиты) юридических и физических лиц в иностранной валюте, привлеченные кредитными организациями
20.10.1.;Всего
20.10.2.;Физических лиц
20.11.;Вклады (депозиты) физических лиц на рублевых счетах в Сбербанке России
20.12.;Вклады (депозиты) физических лиц на валютных счетах в Сбербанке России
20.13.;Задолженность по кредитам в рублях, предоставленным кредитными организациями юридическим лицам
20.14.;Задолженность по кредитам в рублях, предоставленным кредитными организациями физическим лицам
20.14.1.;Всего
20.14.2.;По жилищным кредитам
20.14.3.;По ипотечным жилищным кредитам
20.15.;Задолженность по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам
20.16.;Задолженность по кредитам в иностранной валюте, предоставленным кредитными организациями физическим лицам
20.16.1.;Всего
20.16.2.;По жилищным кредитам
20.16.3.;По ипотечным жилищным кредитам 
20.17.;Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций
20.18.;Удельный вес убыточных организаций
20.19.;Кредиторская задолженность организаций
20.19.1.;Всего
20.19.2.;Просроченная
20.20.;Дебиторская задолженность организаций
20.20.1.;Всего
20.20.2.; Просроченная
20.21.;Численность работников, перед которыми организация имеет просроченную задолженность по заработной плате
20.22.;Просроченная задолженность по заработной плате работникам организаций
20.23.;Просроченная задолженность по заработной плате в расчете на одного работника, перед которым имеется просроченная задолженность
20.24.;Отдельные показатели деятельности страховщиков
20.24.1.; Страховые премии (взносы)
20.24.2.; Выплаты по договорам страхования
20.25.;Отдельные показатели деятельности страховщиков, исходя из места заключения договора
20.25.1.;Страховые премии (взносы)
20.25.2.;Выплаты по договорам страхования
;
;
