;Социально-экономические показатели по субъектам Российской Федерации
;5. ЗДРАВООХРАНЕНИЕ
5.1.;Число больничных коек
5.1.1.;Всего
5.1.2.;На 10 000 человек населения
5.2.;Численность населения на одну больничную койку  
5.3.;Мощность амбулаторно-поликлинических организаций  
5.3.1.;Всего
5.3.2.;На 10 000 человек населения
5.4.;Численность врачей всех специальностей  
5.4.1.;Всего
5.4.2.;На 10 000 человек населения
5.5.;Нагрузка на работников сферы здравоохранения  
5.5.1.;Численность населения на одного врача
5.5.2.; Численность населения на одного работника  среднего медицинского персонала
5.6.;Численность среднего медицинского персонала  
5.6.1.;Всего
5.6.2.;На 10 000 человек населения
5.7.;Прерывание беременности (аборты)  
5.7.1.; На 1000 женщин 15-49 лет
5.7.2.; На 100 родов
5.8.;Заболеваемость на 1000 человек населения   
5.9.;Заболеваемость на 1000 человек населения по основным классам болезней
5.9.1.;Некоторые инфекционные и паразитарные болезни
5.9.2.;Новообразования
5.9.3.;Болезни крови, кроветворных органов и отдельные нарушения, вовлекающие иммунный механизм
5.9.4.;Болезни эндокринной системы, расстройства питания и нарушения обмена веществ
5.9.5.;Болезни нервной системы
5.9.6.;Болезни глаза и его придаточного аппарата
5.9.7.;Болезни уха и сосцевидного отростка
5.9.8.;Болезни системы кровообращения
5.9.9.;Болезни органов дыхания
5.9.10.;Болезни органов пищеварения
5.9.11.;Болезни кожи и подкожной клетчатки
5.9.12.;Болезни костно-мышечной системы и соединительной ткани
5.9.13.;Болезни мочеполовой системы
5.9.14.;Врожденные аномалии (пороки развития), деформации и хромосомные нарушения
5.9.15.;Травмы, отравления и некоторые другие последствия внешних причин
