Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;
ПОТРЕБЛЕНИЕ ПРОДУКТОВ ПИТАНИЯ;;;;;;;;;
"3.17. ПОТРЕБЛЕНИЕ МЯСА И МЯСОПРОДУКТОВ (включая субпродукты II категории и жир-сырец) на душу населения1);2)";;;;;;;;;
"(в год; килограммов)";;;;;;;;;
;2005;2017;;;;;;;
Российская Федерация;55;75;;;;;;;
Центральный федеральный округ;59;83;;;;;;;
Белгородская область;72;96;;;;;;;
Брянская область;59;65;;;;;;;
Владимирская область;37;59;;;;;;;
Воронежская область;49;94;;;;;;;
Ивановская область;43;56;;;;;;;
Калужская область;52;79;;;;;;;
Костромская область;37;54;;;;;;;
Курская область;57;84;;;;;;;
Липецкая область;55;79;;;;;;;
Московская область;71;106;;;;;;;
Орловская область;80;77;;;;;;;
Рязанская область;53;57;;;;;;;
Смоленская область;49;64;;;;;;;
Тамбовская область;53;81;;;;;;;
Тверская область;48;75;;;;;;;
Тульская область;56;66;;;;;;;
Ярославская область;63;83;;;;;;;
г. Москва;61;81;;;;;;;
Северо-Западный федеральный округ;54;76;;;;;;;
Республика Карелия;60;72;;;;;;;
Республика Коми;65;81;;;;;;;
Архангельская область;41;64;;;;;;;
Вологодская область;55;72;;;;;;;
Калининградская область;64;89;;;;;;;
Ленинградская область;47;78;;;;;;;
Мурманская область;53;77;;;;;;;
Новгородская область;51;75;;;;;;;
Псковская область;64;93;;;;;;;
г. Санкт-Петербург;53;73;;;;;;;
Южный              федеральный округ;55;75;;;;;;;
Республика Адыгея;41;68;;;;;;;
Республика Калмыкия;85;115;;;;;;;
Республика Крым;;53;;;;;;;
Краснодарский край;54;83;;;;;;;
Астраханская область;56;80;;;;;;;
Волгоградская область;61;75;;;;;;;
Ростовская область;51;72;;;;;;;
г. Севастополь;;61;;;;;;;
Северо-Кавказский       федеральный округ;40;63;;;;;;;
Республика Дагестан;30;49;;;;;;;
Республика Ингушетия;32;58;;;;;;;
Кабардино-Балкарская Республика;42;68;;;;;;;
Карачаево-Черкесская   Республика;43;58;;;;;;;
Республика Северная Осетия - Алания;50;62;;;;;;;
Чеченская Республика;…;63;;;;;;;
Ставропольский край;48;78;;;;;;;
Приволжский федеральный округ;54;72;;;;;;;
Республика Башкортостан;63;78;;;;;;;
Республика Марий Эл;49;95;;;;;;;
Республика Мордовия;51;78;;;;;;;
Республика Татарстан;59;81;;;;;;;
Удмуртская Республика;50;70;;;;;;;
Чувашская Республика;53;68;;;;;;;
Пермский край;52;63;;;;;;;
Кировская область;56;67;;;;;;;
Нижегородская область ;50;80;;;;;;;
Оренбургская область;57;70;;;;;;;
Пензенская область;53;75;;;;;;;
Самарская область;53;66;;;;;;;
Саратовская область;52;59;;;;;;;
Ульяновская область;44;63;;;;;;;
Уральский  федеральный округ;54;70;;;;;;;
Курганская область;56;68;;;;;;;
Свердловская область ;58;79;;;;;;;
Тюменская область;43;54;;;;;;;
Челябинская область;60;74;;;;;;;
Сибирский федеральный округ;56;71;;;;;;;
Республика Алтай;65;96;;;;;;;
Республика Бурятия;53;66;;;;;;;
Республика Тыва;48;61;;;;;;;
Республика Хакасия;60;66;;;;;;;
Алтайский край;54;70;;;;;;;
Забайкальский край;61;71;;;;;;;
Красноярский край;62;80;;;;;;;
Иркутская область;53;67;;;;;;;
Кемеровская область;51;71;;;;;;;
Новосибирская область ;50;69;;;;;;;
Омская область;70;76;;;;;;;
Томская область;53;66;;;;;;;
Дальневосточный федеральный округ;59;78;;;;;;;
Республика Саха (Якутия);82;87;;;;;;;
Камчатский край;58;70;;;;;;;
Приморский край;47;83;;;;;;;
Хабаровский край ;64;77;;;;;;;
Амурская область;48;61;;;;;;;
Магаданская область;65;80;;;;;;;
Сахалинская область;72;87;;;;;;;
Еврейская автономная область;43;52;;;;;;;
Чукотский автономный округ;35;44;;;;;;;
??????;;;;;;;;;
1) Данные по автономным округам, входящим в состав областей, не разрабатывались в связи с отсутствием информационной базы.;;;;;;;;;
2) Первая оценка данных с учетом итогов Всероссийской сельскохозяйственной переписи 2016 года. Окончательные данные, пересчитанные с учетом итогов Всероссийской сельскохозяйственной переписи 2016 года, будут опубликованы в официальных изданиях Росстата 2019 года.;;;;;;;;;
