Социально-экономические показатели по субъектам Российской Федерации;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;
Основные показатели сельского хозяйства;;;;
ИНДЕКСЫ ПРОИЗВОДСТВА ПРОДУКЦИИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;
14.2.1. Всего1);;;;
" (в хозяйствах всех категорий; в сопоставимых ценах; в процентах к предыдущему году)  ";;;;
;2005;2016;2017;
Российская Федерация;102,7;104,8;103,1;
Центральный федеральный округ;104,0;104,0;103,5;
Белгородская область;110,7;106,6;99,5;
Брянская область;90,0;108,9;106,0;
Владимирская область;115,2;97,3;93,9;
Воронежская область;106,2;104,5;102,8;
Ивановская область;94,7;97,8;98,8;
Калужская область;92,0;99,8;112,2;
Костромская область;102,8;96,1;93,6;
Курская область;104,0;112,5;108,5;
Липецкая область;110,9;107,7;105,5;
Московская область;96,2;99,2;95,8;
Орловская область;100,2;109,8;100,9;
Рязанская область;105,4;95,7;106,3;
Смоленская область;85,3;99,2;101,9;
Тамбовская область;118,0;94,0;113,5;
Тверская область;87,1;110,3;100,6;
Тульская область;113,4;103,9;110,4;
Ярославская область;101,5;103,8;97,9;
г. Москва;;93,9;94,8;
Северо-Западный федеральный округ;99,2;100,5;98,5;
Республика Карелия;101,3;89,9;91,0;
Республика Коми;94,2;104,4;92,5;
Архангельская область;91,3;100,5;84,4;
в том числе: ;;;;
Ненецкий автономный округ;87,8;131,8;88,7;
Архангельская область без автономного округа;;99,3;84,1;
Вологодская область;108,5;106,3;88,9;
Калининградская область;98,5;95,1;100,9;
Ленинградская область;109,6;94,6;100,8;
Мурманская область;85,8;77,2;106,1;
Новгородская область;94,6;104,9;93,4;
Псковская область;77,1;119,7;112,6;
Южный               федеральный округ;101,7;108,7;103,5;
Республика Адыгея;119,1;97,9;100,4;
Республика Калмыкия;87,6;102,2;101,1;
Республика Крым;;100,3;96,4;
Краснодарский край;101,3;105,2;101,7;
Астраханская область;116,8;101,2;109,9;
Волгоградская область;98,9;114,5;102,6;
Ростовская область;102,7;115,7;107,6;
г. Севастополь;;106,9;100,6;
Северо-Кавказский федеральный округ;106,7;106,8;101,5;
Республика Дагестан;112,5;105,8;105,7;
Республика Ингушетия ;72,9;112,8;87,6;
Кабардино-Балкарская Республика;90,8;104,9;104,7;
Карачаево-Черкесская Республика;105,7;101,9;99,4;
Республика Северная Осетия – Алания;86,4;90,6;96,8;
Чеченская Республика ;88,2;109,5;111,4;
Ставропольский край;113,2;110,0;98,9;
Приволжский федеральный округ;99,4;105,7;102,8;
Республика Башкортостан;96,3;100,7;103,3;
Республика Марий Эл;98,6;93,9;96,8;
Республика Мордовия;114,1;107,8;102,9;
Республика Татарстан;104,7;105,1;105,0;
Удмуртская Республика;101,4;98,3;99,8;
Чувашская Республика;106,1;100,0;101,1;
Пермский край;92,9;97,7;100,5;
Кировская область;85,4;104,0;96,3;
Нижегородская область ;118,5;99,0;100,1;
Оренбургская область;90,3;110,9;108,9;
Пензенская область;97,8;106,3;96,0;
Самарская область;97,4;115,0;101,4;
Саратовская область;95,7;114,7;105,1;
Ульяновская область;98,0;117,0;106,5;
Уральский         федеральный округ;130,7;101,1;103,5;
Курганская область;133,2;104,2;105,9;
Свердловская область ;111;97,9;102,1;
Тюменская область;116,4;99,3;105,2;
в том числе:;;;;
Ханты-Мансийский автономный округ – Югра;117,6;102,3;105,5;
Ямало-Ненецкий автономный округ;65,9;99,1;105,8;
Тюменская область без автономных округов;;98,9;105,1;
Челябинская область;159,0;103,3;102,5;
Сибирский         федеральный округ;95,5;103,2;102,1;
Республика Алтай;101,0;101,4;94,7;
Республика Бурятия;97,3;104,1;92,5;
Республика Тыва;86,8;97,4;104,0;
Республика Хакасия;73,3;96,4;100,7;
Алтайский край;87,9;111,9;101,7;
Забайкальский край;131,7;100,3;99,3;
Красноярский край;100,3;103,3;94,4;
Иркутская область;98,6;106,1;100,8;
Кемеровская область;93,5;98,2;101,5;
Новосибирская область ;91,0;101,3;109,0;
Омская область;103,4;97,8;105,0;
Томская область;93,2;95,9;113,9;
Дальневосточный федеральный округ;98,6;98,0;111,3;
Республика Саха (Якутия);113,5;101,2;104,6;
Камчатский край;93,5;103,6;105,3;
Приморский край;92,3;98,7;115,2;
Хабаровский край ;91,2;90,1;103,1;
Амурская область;96,6;98,0;114,9;
Магаданская область;104,0;100,9;111,4;
Сахалинская область;106,7;109,0;108,5;
Еврейская автономная область;117,1;78,1;116,1;
Чукотский автономный округ;49,3;137,3;101,6;
?????;;;;
1) Первая оценка данных с учетом итогов Всероссийской сельскохозяйственной переписи 2016 года. Окончательные данные, пересчитанные с учетом итогов Всероссийской сельскохозяйственной переписи 2016 года, будут опубликованы в официальных изданиях Росстата 2019 года.;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
