Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;
ЛЕСНОЕ ХОЗЯЙСТВО;;;;;;;;;
ЛЕСНЫЕ РЕСУРСЫ;;;;;;;;;
14.37.3. Лесистость территорий1);;;;;;;;;
"(по данным учета на конец года; в процентах)";;;;;;;;;
;2015;2016;2017;;;;;;
Российская Федерация;46,4;46,4;46,4;;;;;;
Центральный    федеральный округ;34,8;35,0;34,9;;;;;;
Белгородская область;8,6;8,7;8,7;;;;;;
Брянская область;32,8;32,8;32,9;;;;;;
Владимирская область;50,9;51,2;51,3;;;;;;
Воронежская область;8,1;8,1;8,2;;;;;;
Ивановская область;46,4;46,4;46,2;;;;;;
Калужская область;45,2;45,1;45;;;;;;
Костромская область;74,3;74,1;74,1;;;;;;
Курская область;8,2;8,2;8,2;;;;;;
Липецкая область;7,3;7,7;8,3;;;;;;
Московская область;42,7;42,7;42,8;;;;;;
Орловская область;7,8;8,0;8,0;;;;;;
Рязанская область;24,0;24,4;23,6;;;;;;
Смоленская область;42,0;41,9;41,9;;;;;;
Тамбовская область;10,5;10,5;10,5;;;;;;
Тверская область;54,9;54,8;54,7;;;;;;
Тульская область;14,2;14,3;14,3;;;;;;
Ярославская область;45,4;45,3;45,5;;;;;;
Северо-Западный    федеральный округ;52,5;52,5;52,5;;;;;;
Республика Карелия;52,9;53,0;53,1;;;;;;
Республика Коми;72,8;72,8;72,7;;;;;;
Архангельская область;38,22);38,22);38,42);;;;;;
в том числе:;;;;;;;;;
Ненецкий автономный округ;1,1;1,1;1,1;;;;;;
Архангельская область    без автономного округа;54,0;54,1;54,1;;;;;;
Вологодская область;69,2;69,2;68,9;;;;;;
Калининградская область;18,6;18,6;18,6;;;;;;
Ленинградская область;57,1;57,1;57,3;;;;;;
Мурманская область;37,4;37,4;37,4;;;;;;
Новгородская область;63,8;64,0;64,1;;;;;;
Псковская область;38,7;38,9;38,8;;;;;;
г. Санкт-Петербург;13,8;13,7;13,7;;;;;;
