;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
CHP;"Численность пенсионеров, состоящих на учете в системе Пенсионного фонда Российской Федерации (до 2002 г. - в органах социальной защиты населения); на конец года, 2007-2008 и начиная с 2010 г. - на 1 января года, следующего за отчетным, тыс.человек";34044;35273;36100;36623;37083;37827;38184;38410;38381;38411;38630;38432;38164;38184;38313;38325;38467;38598;39090;39706;40162;40573;41019
CPU;Численность пенсионеров, приходящаяся на 1000 человек населения, человек;229,2;237,4;243,3;248,7;250,5;255,5;258,3;260,3;261,3;262,5;265,2;265,1;264,4;265,5;267,5;268,3;269,5;270,4;273,7;277,9;280,7;283;285,5
CEU;Численность занятых в экономике, приходящаяся на одного пенсионера,    человек;2,21;2,07;1,98;1,87;1,8;1,76;1,7;1,66;1,67;1,68;1,69;1,7;1,72;1,74;1,75;1,75;1,77;1,78;1,73;1,72;1,7;1,68;1,66
SRP;Средний размер назначенных пенсий (1993-2001 гг. - c учетом компенсации), руб. (до 1998 г. - тыс. руб.);0,2;1,6;19,9;78,5;188,1;302,2;328,1;399;449;694,3;1023,5;1378,5;1637;1914,5;2364;2726,1;3115,5;4198,6;5191,1;7476,3;8202,9;9040,5;9917,5
RRP;Реальный размер назначенных пенсий, в процентах к предыдущему году;96,8;51,9;130,7;96,8;80,5;108,7;94,6;95,2;60,6;128;121,4;116,3;104,5;105,5;109,6;105,1;104,8;118,1;110,7;134,8;101,2;104,9;102,8
SPM;Соотношение среднего размера назначенных пенсий с величиной прожиточного минимума пенсионера, процентов;;119,3;138,1;128,6;101;116;113,2;114,7;70,2;76,4;89,5;100;102;106,3;97,8;99,8;101,6;115,2;126,6;165,4;163;176,5;165,4
SPZ;Соотношение среднего размера назначенных пенсий со средним размером начисленной заработной платы, процентов;33,8;26;33,9;35,6;39,8;38,2;34,5;37,9;29,5;31,2;31,6;31,6;29,8;28,4;27,6;25,6;22,9;24,3;27,9;35,7;35,1;33,9;33,3
NPF;Число негосударственных пенсионных фондов;;;;;;254;279;270;270;262;251;287;283;296;290;289;252;235;165;151;146;134;120
UNP;Численность участников в негосударственных пенсионных фондах, тыс. человек;;;;;;1675,9;2031,5;1816,1;2382,9;3375,2;3968,7;4370,4;5202;5546,7;6059,1;6420,7;6757,1;6746,3;6757;6634;6596;6781,5;6769,1
PNP;Численность получателей негосударственных пенсий, тыс.человек;;;;;;155,9;187,4;174,1;258,5;281,9;330,5;351,8;428;500,6;705,7;865,5;1026,2;1131,4;1274,5;1361,9;1470,9;1537,1;1551,2
RAS;Расходы на выплату пособий и социальную помощь, млрд.руб. (до 1998 г. - трлн.руб.);0;0,2;2;9,5;22,3;42,6;50,6;41,1;55;77,7;98,3;128,4;140,9;141;314,9;467,5;639,5;830;1167,9;1522,7;1831,1;1935,9;2076,2
