СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2018 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
9. ТУРИЗМ И ОТДЫХ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число коллективных средств размещения1);;;;;;;;;;9058;8915;8581;8517;8620;9269;9865;10436;11258;12388;12585;13062;14019;14583;15590;20135;20534;25292;28072
без учета микропредприятий;;;;;;;;;;;;;;;;;;;9655;9839;10210;10491;10628;11674;12080;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
гостиницы и аналогичные средства размещения2);;;;;;;;;;4182;4120;3872;3915;4041;4812;5375;5917;6774;7410;7866;8416;9316;9869;10714;13957;15368;18753;21300
без учета микропредприятий;;;;;;;;;;;;;;;;;;;5621;5953;6357;6706;6998;7898;8391;;;
санаторно-курортные организации3);;;;;;;;;;2409;2416;2347;2259;2233;2173;2148;2118;2147;1997;1945;1959;1905;1840;1905;1878;1832;1803;1755
"организации отдыха и другие специализированные средства размещения3);4)";;;;;;;;;;2467;2379;2362;2343;2346;2284;2342;2401;2337;2037;1941;1894;1880;1790;1871;1811;3334;4736;5017
Число мест в коллективных средствах размещения1), тыс.;;;;;;;;;;1100,5;1098,4;1097,4;1138,0;1140,9;1165,5;1186,5;1190,2;1247,2;1248,1;1263,2;1294,4;1345,0;1386,8;1573,3;1762,6;1848,1;2167,9;2414,5
без учета микропредприятий;;;;;;;;;;;;;;;;;;;1122,5;1132,0;1161,6;1175,6;1200,5;1386,9;1383,9;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
гостиницы и аналогичные средства размещения2);;;;;;;;;;346,1;338,4;343,3;350,0;344,4;404,4;429,2;447,1;498,4;487,4;529,6;571,2;617,8;675,5;814,9;923,0;1046,0;1137,3;1298,7
без учета микропредприятий;;;;;;;;;;;;;;;;;;;417,8;457,8;495,3;515,9;565,1;697,9;703,9;;;
санаторно-курортные организации3);;;;;;;;;;395,4;409,5;427,1;437,6;435,0;431,7;441,5;432,7;445,9;428,3;422,9;424,7;420,0;407,4;443,4;447,0;446,0;428,8;434,1
"организации отдыха и другие специализированные средства размещения3);4)";;;;;;;;;;359,1;350,5;327,0;350,4;361,5;329,5;315,8;310,4;302,9;276,5;251,2;241,6;239,7;228,0;245,7;233,1;356,2;601,8;681,7
Число номеров в коллективных средствах размешения, тыс1);;;;;;;;;;472,1;470,2;442,2;448,4;469,5;486,6;497,3;506,8;539,6;555,3;555,7;560,1;585,7;600,3;670,8;770,4;794,8;884,3;975,1
без учета микропредприятий;;;;;;;;;;;;;;;;;;;499,0;496,8;504,8;513,3;520,8;593,1;609,2;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
гостиницы и аналогичные средства размещения2);;;;;;;;;;183,4;179,3;176,4;177,0;178,6;200,6;208,3;219,4;247,5;249,2;260,2;277,9;300,6;319,1;371,8;433,0;481,7;507,8;583,9
без учета микропредприятий;;;;;;;;;;;;;;;;;;;214,8;229,8;243,4;255,0;269,4;321,7;338,0;;;
санаторно-курортные организации3);;;;;;;;;;160,9;168,4;169,7;169,3;171,9;172,6;176,5;176,8;182,8;185,3;176,7;177,7;175,4;172,6;190,1;192,3;192,5;187,4;186,4
"организации отдыха и другие специализированные средства размещения3);4)";;;;;;;;;;127,7;122,5;96,1;102,2;118,9;113,4;112,5;110,5;109,4;98,9;90,4;83,7;83,0;78,8;81,2;79,0;120,6;189,1;204,7
Число ночевок в коллективных средствах размещения1), млн;;;;;;;;;;166,9;163,4;158,2;151,0;154,6;167,4;172,0;172,3;177,9;162,8;163,0;166,2;173,6;172,6;184,0;212,2;216,8;253,0;279,0
без учета микропредприятий;;;;;;;;;;;;;;;;;;;153,5;151,6;154,0;158,4;157,3;169,0;173,8;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
гостиницы и аналогичные средства размещения2);;;;;;;;;;46,6;47,3;45,9;45,4;46,2;51,9;55,1;58,4;64,0;53,4;60,4;67,3;73,5;76,9;84,1;100,2;115,2;135,9;156,0
без учета микропредприятий;;;;;;;;;;;;;;;;;;;47,7;53,7;59,8;64,0;67,0;74,3;78,2;;;
санаторно-курортные организации3);;;;;;;;;;92,3;90,3;86,6;82,2;84,6;95,4;94,2;91,6;93,4;87,7;81,7;80,4;80,2;77,4;81,6;82,4;81,0;77,3;77,8
"организации отдыха и другие специализированные средства размещения3);4)";;;;;;;;;;28,0;25,7;25,8;23,4;23,8;20,1;22,7;22,3;20,6;18,1;16,2;13,8;14,2;12,9;13,1;13,2;20,6;39,8;45,3
Численность лиц, размещенных в коллективных средствах размещения1), тыс. человек;;;;;;;;;;25073,5;25394,6;25511,5;25266,4;26454,6;28410,9;30246,5;32635,9;35439,3;31690,3;34746,5;37399,5;41065,1;42635,2;44218,9;49284,2;54430,9;61563,2;73693,9
без учета микропредприятий;;;;;;;;;;;;;;;;;;;27972,2;30580,1;33176,1;36012,0;37004,2;38406,4;40506,6;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
гостиницы и аналогичные средства размещения2);;;;;;;;;;16559,3;17088,9;16909,8;16625,8;17015,8;18546,8;20041,8;22144,7;24742,0;21174,5;24025,7;27112,4;30235,2;31732,9;33159,8;36817,4;42981,4;48411,7;59398,9
без учета микропредприятий;;;;;;;;;;;;;;;;;;;18545,7;21258,8;24124,7;26604,5;27702,4;28956,2;30526,1;;;
санаторно-курортные организации3);;;;;;;;;;4583,7;4682,1;4953,3;4961,0;5472,8;5941,2;6084,8;6071,4;6356,5;5774,5;5674,2;5732,9;5750,7;5682,5;6087,4;6100,6;6440,2;5956,0;6415,0
"организации отдыха и другие специализированные средства размещения3);4)";;;;;;;;;;3930,4;3623,7;3648,5;3679,6;3966,1;3922,9;4120,0;4419,7;4340,8;3652,0;3647,2;3318,5;3656,8;3619,3;3362,9;3880,0;5009,4;7195,5;7880,0
Число поездок российских граждан за границу  в страны дальнего зарубежья5), тыс.поездок;;;8475;9139;8396;7771;9311;8430;8409;9819;10402;11436;11645;13147;14838;15666;18690;20464;21641;25487;29271;33142;38521;37752;;;;
Число поездок иностранных граждан в Россию из стран дальнего зарубежья5), тыс.поездок;;;5384;3312;5311;5496;6489;6282;7102;7410;7079;7881;8148;8661;9398;8818;8347;8551;8361;8266;9194;10175;10869;10800;;;;
Число выездных туристских поездок граждан России в зарубежные страны6), тыс.поездок;;;;;;;;;;;;;;;;;;;;;;;;42921;34390;31659;39629;41964
Число въездных туристских поездок иностранных граждан в Россию6), тыс.поездок;;;;;;;;;;;;;;;;;;;;;;;;25438;26852;24571;24390;24551
Число туристских фирм7); ;;;;;;;;;;;3345;;4010;5079;5842;6639;6477;6897;9133;10266;10773;11324;11614;11893;12395;13579;13674
Число реализованных населению турпакетов7),  тыс.;;;;;;;;;;;;858;;2034;4326;4641;5819;4305;3666;4358;4427;4763;5384;4384;4024;3352;4390;4586
Стоимость реализованных населению турпакетов7), млн руб.;;;;;;;;;;;;13195;;29846;76301;88749;124133;117811;128243;167933;175366;208118;249898;243453;239554;192624;281229;303738
Численность туристов, обслуженных туристскими фирмами7), тыс.человек;;;;;;;;;;;;2820;;4056;5075;6059;7721;7669;7008;8430;8288;9179;10232;8779;8644;7302;9510;9625
Число детских оздоровительных лагерей8), тыс.;41,1;33,5;39,3;39,6;43,3;40,0;40,1;42,6;44,3;49,2;52,1;52,2;51,7;52,1;52,8;52,0;51,7;52,2;51,0;50,2;49,2;47,9;46,9;46,2;45,2;44,5;43,7;
Численность детей в детских оздоровительных лагерях8), тыс.человек;5792,1;4357,0;4961,8;4554,8;5151,3;4805,9;4855,8;5124,7;5534,5;6170,6;6358,9;6113,7;5839,4;5596,4;5666,8;5285,5;5135,9;5040,4;4864,0;4893,9;4892,8;4958,3;4864,8;4829,4;4661,2;4787,1;4422,5;
Распределение числа орагнизаций отдыха детей и их оздоровление - по типам9), процентов;;;;;;;;;;;;;;;;;;;;;;;;;;;;100
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
круглогодичного функционирования стационарного типа;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2
сезонного функционирования стационарного типа;;;;;;;;;;;;;;;;;;;;;;;;;;;;96,4
сезонного функционирования палаточного типа;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,4
Численность детей, отдохнувших в них за лето - всего9), тыс. человек;;;;;;;;;;;;;;;;;;;;;;;;;;;;4274,4
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
круглогодичного функционирования стационарного типа;;;;;;;;;;;;;;;;;;;;;;;;;;;;430,4
сезонного функционирования стационарного типа;;;;;;;;;;;;;;;;;;;;;;;;;;;;3741,7
сезонного функционирования палаточного типа;;;;;;;;;;;;;;;;;;;;;;;;;;;;102,3
Число спортивных сооружений:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
стадионы с трибунами на 1500 мест и более10);2208;…;2236;2246;2260;2239;2313;2121;2092;2108;2106;2112;2097;2096;2081;2096;2501;2643;2666;1903;1904;1805;1807;1959;1877;1771;1729;1764
спортивные залы, тыс.;49,8;…;48,2;49;50,2;51;53,2;53,6;54,4;54,9;54,8;56,1;59,4;61,7;62,3;63,4;67,0;68,7;70,0;72,4;74,3;69,6;70,1;71,8;72,0;72,1;72,7;73,3
плавательные бассейны;2194;…;2287;2229;2351;2408;2520;2598;1821;2512;2630;2639;3033;3074;3110;3211;3535;3721;3990;4237;4467;4575;4774;4956;5196;5441;5654;5855
плоскостные спортивные сооружения (площадки и поля), тыс.;126,2;…;107,5;102,7;99,3;80,7;89,2;92,3;94,6;96,8;98,7;103,8;108,4;112,1;113,1;115,4;119,9;123,2;126,4;129,6;133,6;138,3;140,7;145,6;148,2;154,6;147,5;147,8
Численность занимавшихся в спортивных секциях и группах, тыс.человек;14819,4;…;11414,6;10610,2;10528,8;10078,5;10725,9;11842,1;12292,2;12803,4;13356,4;14119,9;15501,6;16593,8;17510,3;18550,3;21055,1;22557,0;24579,9;26257,0;29439,2;32237,4;35314,9;39071,4;43464,4;46701,3;50109,2;54291,5
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
женщины;;;;;;;;;3729,2;4003,5;4127,4;4436,1;5089,5;5487,0;5885,5;6285,1;7490,3;8148,7;8930,3;9549,9;10726,2;11960,0;13140,5;14657,4;16669,6;18130,1;20041,8;21652,3
мужчины;;;;;;;;;8563,0;8799,9;9229,0;9683,8;10412,1;11106,8;11624,8;12265,2;13564,8;14408,3;15649,6;16707,1;18713,0;20277,4;22174,4;24414,0;26794,8;28571,2;30067,4;32639,2
Численность инвалидов, занимавшихся в спортивных секциях и группах11), тыс.человек;;;;;;;;;234,1;73,7;86,7;95,8;114,1;127,4;205,9;211,3;205,9;224,6;256,2;307,0;391,6;458,5;541,0;646,8;845,0;977,6;1154,4;1329,1
1) 2000-2004 гг. - без учета физических лиц, осуществляющих предпринимательскую деятельность без образования юридического лица (индивидульных предпринимателей). микропредприятий.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) До 2017 г. - включая пансионаты.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) 2009-2015 гг. - без учета микропредприятий.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4) Включая туристские базы, круизные и прогулочные суда, а также наземный и водный транспорт, переоборудованный под средства размещения. С 2017 г. - включая пансионаты.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5) По данным ФСБ России (Пограничная служба).;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6) В соответствии с Официальной статистической методологией оценки числа въездных и выездных туристских поездок, утвержденной приказом Росстата от 12.08.2014 № 510. Показатель разрабатывается с 2014 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"7) Статистическое наблюдение ведется с 2002 г. с периодичностью 1 раз в 2 года; с 2004 г. - ежегодно.";;;;;;;;;;;;;;;;;;;;;;;;;;;;
8) Информация приведена о детских оздоровительных лагерях (без субъектов малого предпринимательства) за период июнь-август.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9) Инрормация приведена об организации отдыха детей и их оздоровления (без субъектов малого предпринимательства) за период (май-сентябрь).;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10) За 2007-2009 гг. - стадионы с трибунами (независимо от числа посадочных мест).;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11) С 2012 г. - изменение методологии сбора данных Минспортом России.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
