СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2018 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
6. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Дошкольное образование1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число организаций, осуществляющих образовательную деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми;87573;81999;78333;72839;68593;64211;60256;56608;53917;51329;49981;48878;47835;47185;46518;46168;45730;45607;45346;45111;44884;44326;43187;50979;50115;49370;48644;47819
Численность воспитанников в организациях, осуществляющих образовательную деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми , тыс.человек;8433;7236;6763;6118;5584;5101;4706;4379;4225;4263;4246;4267;4321;4423;4530;4713;4906;5105;5228;5388;5661;5983;6347;6814;7152;7343;7478;7582
Численность педагогических работников организаций, осуществляющих образовательную деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми2);993,9;905,2;865,2;797,5;753,3;713,3;671,6;641,8;618,3;608,7;605,3;609,0;610,8;619,4;628,5;638,8;609,5;587,4;600,8;605,1;612,5;626,6;652,2;630,3;642,8;656,2;662,7;669,8
1) До 2014 г. информация приведена по дошкольным образовательным организациям.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) С 2007 г. - без заведующих (отнесенных к административному персоналу) и  внешних совместителей.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Интернатные учреждения для детей1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число домов ребенка2);262;257;253;252;252;252;251;249;248;254;246;249;251;255;254;249;249;244;243;227;218;207;194;176;166;161;154;145
Число детских домов;569;577;606;676;820;966;1094;1122;1190;1244;1265;1288;1315;1314;1325;1309;1241;1147;1095;1048;1012;976;911;819;720;642;613;621
Число детских домов-школ;;;;;;;;69;86;85;82;93;96;92;79;75;72;63;61;56;42;42;36;33;25;19;15;15
Число домов-интернатов для детей3);159;158;158;158;159;157;158;154;155;156;155;152;152;152;153;157;151;146;148;143;134;132;134;133;144;141;112;109
Число школ-интернатов общего типа4);682;…;645;…;637;…;628;…;646;…;680;…;692;…;702;…;701;…;618;631;561;553;545;522;497;…;…;…
Число школ-интернатов для детей-сирот и детей, оставшихся без попечения родителей;150;140;143;141;151;153;158;157;155;157;164;156;150;152;160;154;144;127;106;90;83;72;62;57;46;42;45;42
Число школ-интернатов для детей с ограниченными возможностями здоровья4);1493;1492;1481;1475;1473;1471;1450;1439;1442;1420;1421;1426;1410;1393;1373;1342;1346;1327;1272;1267;1217;1196;1155;1151;1118;…;…;…
1) По данным Минпросвещения России.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) По данным Минздрава России.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) По данным Минтруда России.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4) С 2016 г. данные не разрабатываются.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Общее образование1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число организаций, осуществляющих образовательную деятельность по образовательным программам начального, основного и среднего общего образования;69947;70499;70355;70464;70782;70572;70166;69613;69292;68804;68594;67431;66207;64908;63174;61028;57992;55792;53102;50793;48342;46881;45419;44846;43374;42621;41958;41349
Число государственных и муниципальных общеобразовательных организаций (без вечерних (сменных) общеобразовательных организаций)2);67891;68270;68110;68187;68445;68259;67862;67321;66943;66428;66171;64979;63759;62474;60771;58669;55710;53568;50977;48804;46459;45031;43716;43228;41906;…;…;…
Число частных общеобразовательных организаций2);;286;368;447;525;540;570;568;607;635;662;683;707;708;726;719;697;691;680;665;687;715;720;751;781;…;…;…
Число государственных и муниципальных вечерних (сменных) общеобразовательных организаций2);2056;1943;1877;1830;1812;1773;1734;1724;1742;1741;1761;1769;1741;1726;1677;1640;1585;1533;1445;1324;1196;1135;983;867;687;…;…;…
Численность обучающихся по образовательным программам начального, основного и среднего общего образования, тыс. человек;20936,3;21010,5;21081,2;21612,0;22039,0;22202,9;22212,4;21970,3;21369,0;20553,2;19909,0;18918,4;17797,5;16630,7;15631,1;14787,8;14174,5;13825,1;13690,1;13642,4;13737,8;13804,5;13877,4;14398,7;14770,2;15219,0;15705,9;16137,3
Численность обучающихся в государственных и муниципальных общеобразовательных организациях (без вечерних (сменных) общеобразовательных организаций)2), тыс. человек;20427;20503;20564;21104;21521;21682;21683;21429;20826;20013;19363;18372;17254;16098;15113;14291;13695;13363;13258;13244;13362;13445;13548;14092;14492;...;...;...
