Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;
ИНДИВИДУАЛЬНОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;;
12.13. ИТОГИ СПЛОШНЫХ НАБЛЮДЕНИЙ;;;;;;;;
12.13.1. Число индивидуальных предпринимателей в 2010, 2015 гг.1);;;;;;;;
(тысяч);;;;;;;;
;2010;2015;;;;;;
Российская Федерация;2927,5;2792,0;;;;;;
"Центральный 
федеральный округ";625,7;604,1;;;;;;
Белгородская область;45,5;43,8;;;;;;
Брянская область;42,3;27,3;;;;;;
Владимирская область;37,3;30,9;;;;;;
Воронежская область;51,5;50,4;;;;;;
Ивановская область;26,8;21,9;;;;;;
Калужская область;21,3;21,6;;;;;;
Костромская область;17,3;14,2;;;;;;
Курская область;31,8;27,0;;;;;;
Липецкая область;32,0;25,0;;;;;;
Московская область ;57,2;96,9;;;;;;
Орловская область;19,0;16,8;;;;;;
Рязанская область;24,9;21,4;;;;;;
Смоленская область;22,0;18,1;;;;;;
Тамбовская область;25,3;20,6;;;;;;
Тверская область;28,7;24,8;;;;;;
Тульская область;37,0;35,9;;;;;;
Ярославская область;32,2;19,3;;;;;;
г. Москва;73,5;88,5;;;;;;
"Северо-Западный
федеральный округ";257,3;227,4;;;;;;
Республика Карелия;13,8;11,7;;;;;;
Республика Коми;20,3;19,1;;;;;;
Архангельская область;24,0;26,3;;;;;;
в том числе: ;;;;;;;;
Ненецкий автономный округ;1,0;1,0;;;;;;
Архангельская область без автономного округа;22,9;25,3;;;;;;
Вологодская область;34,5;20,5;;;;;;
Калинингpадская область;29,0;24,1;;;;;;
Ленинградская область;26,7;28,7;;;;;;
Мурманская область;14,5;13,5;;;;;;
Новгородская область;14,7;13,2;;;;;;
Псковская область;15,0;12,0;;;;;;
г. Санкт-Петербург;64,9;58,3;;;;;;
"Южный                 
федеральный округ";402,3;477,6;;;;;;
Республика Адыгея;14,7;12,5;;;;;;
Республика Калмыкия;7,7;7,4;;;;;;
Республика Крым;;54,7;;;;;;
Краснодарский край;175,6;196,2;;;;;;
Астраханская область;30,7;24,2;;;;;;
Волгоградская область;67,4;51,9;;;;;;
Ростовская область;106,3;117,4;;;;;;
г. Севастополь;;13,5;;;;;;
Северо-Кавказский федеральный округ;218,0;180,9;;;;;;
Республика Дагестан;34,6;32,6;;;;;;
Республика Ингушетия;8,9;5,5;;;;;;
Кабардино-Балкарская Республика;27,2;17,5;;;;;;
Карачаево-Черкесская Республика;13,2;10,3;;;;;;
Республика Северная Осетия – Алания;18,7;12,7;;;;;;
Чеченская Республика;27,7;22,1;;;;;;
Ставропольский край;87,8;80,2;;;;;;
"Приволжский 
федеральный округ";591,5;559,8;;;;;;
Республика Башкортостан;79,8;76,3;;;;;;
Республика Марий Эл;10,7;11,1;;;;;;
Республика Мордовия;18,9;16,1;;;;;;
Республика Татарстан;75,8;73,7;;;;;;
Удмуртская Республика;34,2;28,9;;;;;;
Чувашская Республика;39,6;27,6;;;;;;
Пермский край;42,8;55,9;;;;;;
Кировская область;37,1;29,5;;;;;;
Нижегородская область;47,4;48,6;;;;;;
Оренбургская область;50,9;39,6;;;;;;
Пензенская область;35,0;32,0;;;;;;
Самарская область;56,4;43,6;;;;;;
Саратовская область;38,5;50,4;;;;;;
Ульяновская область;24,4;26,5;;;;;;
Уральский            федеральный округ;253,8;234,9;;;;;;
Курганская область;18,8;14,5;;;;;;
Свердловская область;84,1;86,5;;;;;;
Тюменская область;80,5;76,4;;;;;;
в том числе:;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;31,6;37,2;;;;;;
Ямало-Ненецкий автономный округ;11,2;8,7;;;;;;
Тюменская область без автономных округов;37,7;30,6;;;;;;
Челябинская область;70,4;57,5;;;;;;
Сибирский           федеральный округ;366,6;325,1;;;;;;
Республика Алтай;8,2;6,3;;;;;;
Республика Тыва;9,2;5,8;;;;;;
Республика Хакасия;14,6;13,5;;;;;;
Алтайский край;61,1;48,3;;;;;;
Красноярский край;52,8;57,1;;;;;;
Иркутская область;44,9;38,5;;;;;;
Кемеровская область;47,9;40,5;;;;;;
Новосибирская область;54,1;53,5;;;;;;
Омская область;49,2;40,4;;;;;;
Томская область;24,7;21,3;;;;;;
Дальневосточный федеральный округ;212,0;181,9;;;;;;
Республика Бурятия;26,4;17,8;;;;;;
Республика Саха (Якутия);36,1;33,7;;;;;;
Забайкальский край;28,5;17,7;;;;;;
Камчатский край;10,3;8,0;;;;;;
Приморский край;45,8;42,5;;;;;;
Хабаровский край;22,6;21,9;;;;;;
Амурская область;17,7;16,5;;;;;;
Магаданская область;5,1;5,5;;;;;;
Сахалинская область;15,5;14,1;;;;;;
Еврейская автономная область;3,1;3,2;;;;;;
Чукотский автономный округ;0,8;1,0;;;;;;
?????;;;;;;;;
1) По данным сплошных федеральных статистических наблюдений за деятельностью субъектов малого и среднего предпринимательства. ;;;;;;;;
