;Социально-экономические показатели по субъектам Российской Федерации;;
;19. НАУКА И ИННОВАЦИИ;;
19.1.;Организации, выполнявшие научные исследования и разработки;;
19.2.;Численность персонала, занятого научными исследованиями и разработками;;
19.3.;Численность персонала, занятого научными исследованиями и разработками, по категориям  ;;
19.3.1.;Исследователи;;
19.3.2.;Техники;;
19.3.3.;Вспомогательный персонал;;
19.3.4.;Прочие;;
19.4.;Численность исследователей с учеными степенями;;
19.4.1.;Всего;;
19.4.2.;С ученой степенью доктора наук;;
19.4.3.;С ученой степенью кандидата наук;;
19.5.;Внутренние затраты на научные исследования и разработки;;
19.6.;Внутренние текущие затраты на научные исследования и разработки по видам затрат;;
19.6.1.; Всего;;
19.6.2.;Оплата труда ;;
19.6.3.;Страховые взносы на  ОПС, ОМС, ОСС;;
19.6.4.;Приобретение оборудования ;;
19.6.5.;Другие материальные затраты;;
19.6.6.;Прочие текущие затраты;;
19.7.;Капитальные  затраты на научные исследования и разработки;;
19.8.;Внутренние текущие затраты на научные исследования и разработки по видам работ;;
19.8.1.;Всего;;
19.8.2.;Фундаментальные исследования;;
19.8.3.;Прикладные исследования;;
19.8.4.; Разработки;;
19.9.;Поступление патентных заявок и выдача патентов в России;;
19.9.1.;Подано патентных заявок на изобретения;;
19.9.2.;Подано патентных заявок на полезные модели;;
19.9.3. ; Выдано патентов на избретения;;
19.9.4.; Выдано патентов на полезные модели;;
19.10.;Разработанные передовые производственные технологии;;
19.11.; Используемые передовые производственные технологии;;
19.12.;Инновационная активность организации;;
19.12.1.; Удельный вес организаций, осуществлявших технологические, маркетинговые и организационные инновации, в общем числе обследованных организаций за 2000-2017 гг.;;
19.12.2. ; Удельный вес организаций, осуществлявших технологические инновации, в общем числе обследованных организаций за 2000-2017 гг.;;
19.13.;Затраты на технологические инновации;;
19.13.1.; Всего;;
19.13.2.; В процентах от общего объема отгруженных товаров, выполненных работ, услуг;;
19.14.;Объем инновационных товаров, работ, услуг;;
19.14.1.;Всего;;
19.14.2.;В процентах от общего объема отгруженных товаров, выполненных работ, услуг ;;
;;;
;;;
;;;
;;;
;;;
;;;
