Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;;;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;;;;;;;;;
12.3. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ;;;;;;;;;;;;;;;
12.3.2. Число малых предприятий на 10 000 человек населения1);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;2011;2012;2013;2014;2016 2);2017 3);2018 4);;;;;;;;
Российская Федерация;128;140;144;144;189;188;181;;;;;;;;
"Центральный
федеральный округ";142;146;147;147;240;248;238;;;;;;;;
Белгородская область;121;142;160;157;157;150;145;;;;;;;;
Брянская область;88;91;95;100;114;107;104;;;;;;;;
Владимирская область;135;125;134;131;147;141;135;;;;;;;;
Воронежская область;98;95;97;100;163;158;154;;;;;;;;
Ивановская область;161;173;189;198;213;204;203;;;;;;;;
Калужская область;114;125;129;135;154;144;141;;;;;;;;
Костромская область;120;127;131;102;148;153;147;;;;;;;;
Курская область;78;89;92;94;99;100;107;;;;;;;;
Липецкая область;103;105;112;127;123;126;116;;;;;;;;
Московская область ;101;106;108;107;164;169;170;;;;;;;;
Орловская область;91;100;95;102;131;122;119;;;;;;;;
Рязанская область;113;129;136;149;182;167;158;;;;;;;;
Смоленская область;136;139;135;138;183;180;179;;;;;;;;
Тамбовская область;77;80;81;82;103;106;102;;;;;;;;
Тверская область;90;141;138;130;168;161;158;;;;;;;;
Тульская область;127;151;145;137;153;148;146;;;;;;;;
Ярославская область;205;212;202;172;226;226;220;;;;;;;;
г. Москва;210;201;200;201;417;445;418;;;;;;;;
"Северо-Западный
федеральный округ";190;236;239;240;267;272;264;;;;;;;;
Республика Карелия;142;146;185;146;202;206;202;;;;;;;;
Республика Коми;130;139;148;150;128;132;128;;;;;;;;
Архангельская область;104;122;146;124;125;126;121;;;;;;;;
в том числе: ;;;;;;;;;;;;;;;
Ненецкий автономный округ;72;103;119;103;94;91;88;;;;;;;;
Архангельская область без автономного округа;105;123;147;124;126;127;122;;;;;;;;
Вологодская область;83;85;93;105;196;224;221;;;;;;;;
Калинингpадская область;203;255;224;225;287;329;314;;;;;;;;
Ленинградская область;84;117;116;112;100;95;96;;;;;;;;
Мурманская область;78;79;78;77;156;154;146;;;;;;;;
Новгородская область;114;124;140;155;128;133;131;;;;;;;;
Псковская область;93;112;122;127;153;155;156;;;;;;;;
г. Санкт-Петербург;330;420;414;419;444;439;424;;;;;;;;
Южный        федеральный округ;106;109;112;110;138;128;124;;;;;;;;
Республика Адыгея;82;82;84;88;99;83;80;;;;;;;;
Республика Калмыкия;31;31;36;39;54;67;64;;;;;;;;
Республика Крым;;;;68;116;116;117;;;;;;;;
Краснодарский край;103;103;109;115;162;145;140;;;;;;;;
Астраханская область;86;89;90;98;99;98;94;;;;;;;;
Волгоградская область;96;105;109;112;133;114;106;;;;;;;;
Ростовская область;128;132;129;128;133;128;125;;;;;;;;
г. Севастополь;;;;132;176;181;178;;;;;;;;
Северо-Кавказский федеральный округ;50;53;55;55;55;49;48;;;;;;;;
Республика Дагестан;19;26;26;23;26;21;20;;;;;;;;
Республика Ингушетия;19;30;60;78;31;31;37;;;;;;;;
Кабардино-Балкарская Республика;49;50;51;50;62;58;57;;;;;;;;
Карачаево-Черкесская Республика;53;54;79;78;74;53;55;;;;;;;;
Республика Северная Осетия – Алания;70;88;92;82;75;57;58;;;;;;;;
Чеченская Республика;53;47;39;41;34;20;19;;;;;;;;
Ставропольский край;81;79;81;84;92;93;88;;;;;;;;
Приволжский федеральный округ;113;120;126;124;163;160;156;;;;;;;;
Республика Башкортостан;80;96;100;102;122;127;126;;;;;;;;
Республика Марий Эл;101;110;126;138;160;142;133;;;;;;;;
Республика Мордовия;76;87;84;88;95;88;85;;;;;;;;
Республика Татарстан;121;125;129;127;192;193;187;;;;;;;;
Удмуртская Республика;132;129;134;143;182;169;166;;;;;;;;
Чувашская Республика;114;112;118;128;141;133;127;;;;;;;;
Пермский край;138;130;134;134;231;184;172;;;;;;;;
Кировская область;134;151;168;184;197;179;168;;;;;;;;
Нижегородская область;125;117;118;109;158;190;193;;;;;;;;
Оренбургская область;85;90;94;96;105;108;104;;;;;;;;
Пензенская область;93;126;128;119;126;119;116;;;;;;;;
Самарская область;149;162;166;146;219;216;216;;;;;;;;
Саратовская область;93;111;123;124;126;116;115;;;;;;;;
Ульяновская область;107;124;135;126;156;151;150;;;;;;;;
Уральский     федеральный округ;143;150;157;163;206;196;185;;;;;;;;
