Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
"15. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО
";;;;;;;;;;;;;;;
ЛЕСНОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;
14.40. ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ДЕЯТЕЛЬНОСТИ «ЛЕСОЗАГОТОВКИ»1);;;;;;;;;;;;;;;
14.40.1. Число предприятий и организаций2) ;;;;;;;;;;;;;;;
(на конец года);;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Российская Федерация;20825;19159;18713;18262;17751;15635;13551;12199;11419;10553;10216;8939;7968;7575;
Центральный     федеральный округ;2367;2126;2122;2037;2001;1905;1794;1691;1572;1462;1426;1195;1069;981;
Белгородская область;7;7;9;7;9;9;7;8;9;10;7;7;7;5;
Брянская область;95;95;98;102;95;86;77;64;63;58;59;45;35;34; 
Владимирская область;89;91;87;84;84;87;81;60;57;51;51;41;40;37;
Воронежская область;7;13;12;15;18;19;22;23;26;25;24;22;19;18;
Ивановская область;111;102;89;88;107;112;103;90;88;84;87;86;67;64;
Калужская область;61;59;58;60;54;51;43;38;35;34;31;32;32;30;
Костромская область;357;343;359;366;368;314;327;321;293;259;260;217;192;185;
Курская область;8;8;6;6;6;4;3;3;5;6;6;4;3;3;
Липецкая область;4;7;6;5;5;5;8;6;6;6;7;11;11;12;
Московская область;182;168;163;152;153;119;115;120;115;120;120;100;98;84;
Орловская область;5;3;3;3;3;1;-;-;-;1;1;3;6;7;
Рязанская область;97;91;81;100;100;98;83;65;69;66;53;54;41;34;
Смоленская область;140;144;172;156;133;120;110;98;98;89;87;79;73;75;
Тамбовская область;33;25;21;22;20;17;13;13;15;11;11;10;10;11;
Тверская область;403;398;392;326;291;287;210;177;164;154;140;124;114;113;
Тульская область;13;11;11;20;20;20;22;22;20;18;17;11;8;8;
Ярославская область;122;119;115;118;117;105;102;102;95;78;75;70;61;54;
г. Москва;633;442;440;407;418;451;468;481;414;392;390;279;252;207;
Северо-Западный     федеральный округ;5981;5548;5376;5153;5034;3996;3459;3070;2816;2587;2571;2310;2004;1827;
Республика Карелия;716;670;631;597;564;490;452;446;375;338;324;297;269;231;
Республика Коми;703;642;665;692;700;597;488;372;341;316;322;286;232;210;
Архангельская область;814;709;726;739;750;693;597;536;496;413;399;323;280;251;
в том числе:  ;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Архангельская область      без автономного округа;814;709;726;739;750;693;597;536;496;413;399;323;280;251;
Вологодская область;877;820;788;653;658;635;536;491;456;435;443;443;362;344;
Калининградская область;127;123;121;117;114;96;88;70;65;66;64;63;53;38;
Ленинградская область;1200;1094;1043;980;929;573;445;393;371;338;332;291;251;244;
Мурманская область;69;53;51;46;46;37;23;23;19;13;14;13;13;10;
Новгородская область;346;341;308;304;284;272;276;262;256;253;250;231;212;199;
Псковская область;346;340;323;316;276;223;180;168;166;155;149;139;134;126;
