Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;
ИНДИВИДУАЛЬНОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;
12.13. ИТОГИ СПЛОШНЫХ НАБЛЮДЕНИЙ;;;;;;;
12.13.3. Средняя численность работников в 2010, 2015 гг. 1);;;;;;;
(тысяч человек);;;;;;;
;2010;2015;;;;;
Российская Федерация;5350,1;4984,0;;;;;
"Центральный
федеральный округ";1186,9;1099,9;;;;;
Белгородская область;90,5;74,7;;;;;
Брянская область;53,8;43,2;;;;;
Владимирская область;75,9;63,0;;;;;
Воронежская область;106,2;93,0;;;;;
Ивановская область;59,6;48,8;;;;;
Калужская область;40,6;41,2;;;;;
Костромская область;50,5;41,3;;;;;
Курская область;56,6;50,2;;;;;
Липецкая область;47,9;47,7;;;;;
Московская область ;118,3;161,0;;;;;
Орловская область;36,8;33,1;;;;;
Рязанская область;54,0;46,1;;;;;
Смоленская область;44,4;38,6;;;;;
Тамбовская область;63,8;49,3;;;;;
Тверская область;58,0;45,9;;;;;
Тульская область;66,6;56,4;;;;;
Ярославская область;55,5;43,7;;;;;
г. Москва;107,7;122,9;;;;;
"Северо-Западный
федеральный округ";444,1;402,7;;;;;
Республика Карелия;22,8;18,6;;;;;
Республика Коми;45,8;38,7;;;;;
Архангельская область;61,5;57,6;;;;;
в том числе: ;;;;;;;
Ненецкий автономный округ;2,2;1,5;;;;;
Архангельская область без автономного округа;59,3;56,1;;;;;
Вологодская область;61,8;48,0;;;;;
Калинингpадская область;42,5;42,6;;;;;
Ленинградская область;49,7;46,1;;;;;
Мурманская область;27,2;21,8;;;;;
Новгородская область;30,0;22,3;;;;;
Псковская область;24,4;19,8;;;;;
г. Санкт-Петербург;78,5;87,4;;;;;
"Южный                 
федеральный округ";661,3;775,4;;;;;
Республика Адыгея;20,5;18,8;;;;;
Республика Калмыкия;16,0;11,7;;;;;
Республика Крым;;91,4;;;;;
Краснодарский край;240,4;294,9;;;;;
Астраханская область;59,0;50,1;;;;;
Волгоградская область;122,7;83,1;;;;;
Ростовская область;202,7;203,7;;;;;
г. Севастополь;;21,7;;;;;
Северо-Кавказский федеральный округ;304,8;280,4;;;;;
Республика Дагестан;37,4;32,0;;;;;
Республика Ингушетия;4,5;16,7;;;;;
Кабардино-Балкарская Республика;50,2;22,4;;;;;
Карачаево-Черкесская Республика;17,5;13,5;;;;;
Республика Северная Осетия – Алания;25,0;14,9;;;;;
Чеченская Республика;23,6;50,9;;;;;
Ставропольский край;146,6;129,9;;;;;
"Приволжский 
федеральный округ";1201,4;1042,8;;;;;
Республика Башкортостан;151,7;139,1;;;;;
Республика Марий Эл;27,2;22,8;;;;;
Республика Мордовия;42,3;31,1;;;;;
Республика Татарстан;146,0;119,6;;;;;
Удмуртская Республика;63,3;59,1;;;;;
Чувашская Республика;55,9;44,6;;;;;
Пермский край;123,8;111,0;;;;;
Кировская область;78,2;66,7;;;;;
Нижегородская область;123,9;106,5;;;;;
Оренбургская область;87,8;69,0;;;;;
Пензенская область;82,3;73,2;;;;;
Самарская область;90,9;67,2;;;;;
Саратовская область;78,2;90,9;;;;;
Ульяновская область;49,8;42,0;;;;;
"Уральский            
федеральный округ";478,7;420,6;;;;;
Курганская область;44,1;33,5;;;;;
Свердловская область;183,6;164,7;;;;;
Тюменская область;122,3;110,5;;;;;
в том числе:;;;;;;;
Ханты-Мансийский      автономный округ – Югра;52,6;48,4;;;;;
Ямало-Ненецкий автономный округ;17,8;16,5;;;;;
Тюменская область без автономных округов;52,0;45,6;;;;;
Челябинская область;128,6;111,9;;;;;
"Сибирский           
федеральный округ";666,8;592,9;;;;;
Республика Алтай;14,9;11,1;;;;;
Республика Тыва;13,7;10,9;;;;;
Республика Хакасия;34,1;27,8;;;;;
Алтайский край;106,8;91,3;;;;;
Красноярский край;109,1;96,7;;;;;
Иркутская область;83,7;84,1;;;;;
Кемеровская область;96,0;75,3;;;;;
Новосибирская область;70,1;80,6;;;;;
Омская область;91,1;73,8;;;;;
Томская область;47,2;41,3;;;;;
"Дальневосточный 
федеральный округ";405,6;368,7;;;;;
Республика Бурятия;51,0;43,0;;;;;
Республика Саха (Якутия);61,0;55,1;;;;;
Забайкальский край;45,6;42,6;;;;;
Камчатский край;18,8;14,8;;;;;
Приморский край;93,5;92,6;;;;;
Хабаровский край;46,5;41,5;;;;;
Амурская область;40,5;37,8;;;;;
Магаданская область;8,2;6,7;;;;;
Сахалинская область;28,9;25,0;;;;;
Еврейская автономная область;10,5;8,0;;;;;
Чукотский автономный округ;1,3;1,6;;;;;
?????;;;;;;;
1) По данным сплошных федеральных статистических наблюдений за деятельностью субъектов малого и среднего предпринимательства. Средняя численность работников включает среднюю численность наемных работников, партнеров, помогающих членов семьи, а также численность самих индивидуальных предпринимателей.;;;;;;;
