Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;;;;;
12.4. ИТОГИ СПЛОШНЫХ НАБЛЮДЕНИЙ;;;;;;;;;;;
12.4.3. Среднесписочная численность работников  (без внешних совместителей) в  2010, 2015 гг.1);;;;;;;;;;;
(тысяч человек);;;;;;;;;;;
;2010;2015;;;;;;;;;
Российская Федерация;9790,2;10377,6;;;;;;;;;
"Центральный
федеральный округ";2855,0;3077,9;;;;;;;;;
Белгородская область;93,6;101,0;;;;;;;;;
Брянская область;75,3;75,3;;;;;;;;;
Владимирская область;114,5;112,6;;;;;;;;;
Воронежская область;141,9;203,8;;;;;;;;;
Ивановская область;88,8;91,1;;;;;;;;;
Калужская область;82,4;79,5;;;;;;;;;
Костромская область;59,1;55,7;;;;;;;;;
Курская область;60,9;57,5;;;;;;;;;
Липецкая область;80,7;74,1;;;;;;;;;
Московская область ;430,7;457,2;;;;;;;;;
Орловская область;48,7;48,6;;;;;;;;;
Рязанская область;86,0;92,0;;;;;;;;;
Смоленская область;73,9;75,1;;;;;;;;;
Тамбовская область;62,6;56,8;;;;;;;;;
Тверская область;104,5;97,4;;;;;;;;;
Тульская область;108,8;99,9;;;;;;;;;
Ярославская область;112,7;105,8;;;;;;;;;
г. Москва;1029,8;1194,4;;;;;;;;;
"Северо-Западный
федеральный округ";1161,7;1337,6;;;;;;;;;
Республика Карелия;51,8;49,6;;;;;;;;;
Республика Коми;67,8;56,3;;;;;;;;;
Архангельская область;80,6;77,4;;;;;;;;;
в том числе: ;;;;;;;;;;;
Ненецкий автономный округ;2,8;2,2;;;;;;;;;
Архангельская область без автономного округа;77,8;75,2;;;;;;;;;
Вологодская область;98,4;89,2;;;;;;;;;
Калинингpадская область;90,6;101,7;;;;;;;;;
Ленинградская область;89,2;99,4;;;;;;;;;
Мурманская область;57,5;47,9;;;;;;;;;
Новгородская область;49,2;42,3;;;;;;;;;
Псковская область;54,6;49,3;;;;;;;;;
г. Санкт-Петербург;522,1;724,5;;;;;;;;;
"Южный        
федеральный округ";853,5;925,6;;;;;;;;;
Республика Адыгея;21,4;22,4;;;;;;;;;
Республика Калмыкия;8,4;8,5;;;;;;;;;
Республика Крым;;75,0;;;;;;;;;
Краснодарский край;321,3;343,4;;;;;;;;;
Астраханская область;56,1;48,6;;;;;;;;;
Волгоградская область;161,4;138,6;;;;;;;;;
Ростовская область;285,0;265,4;;;;;;;;;
г. Севастополь;;23,8;;;;;;;;;
"Северо-Кавказский 
федеральный округ";234,8;228,4;;;;;;;;;
Республика Дагестан;22,1;23,3;;;;;;;;;
Республика Ингушетия;3,2;2,7;;;;;;;;;
Кабардино-Балкарская Республика;19,9;17,6;;;;;;;;;
Карачаево-Черкесская Республика;14,6;11,0;;;;;;;;;
Республика Северная Осетия – Алания;25,6;22,1;;;;;;;;;
Чеченская Республика;7,8;22,5;;;;;;;;;
Ставропольский край;141,5;129,1;;;;;;;;;
"Приволжский 
федеральный округ";2111,5;2118,9;;;;;;;;;
Республика Башкортостан;246,6;271,5;;;;;;;;;
Республика Марий Эл;46,1;47,6;;;;;;;;;
Республика Мордовия;50,0;44,8;;;;;;;;;
Республика Татарстан;299,5;300,1;;;;;;;;;
Удмуртская Республика;105,5;115,0;;;;;;;;;
Чувашская Республика;83,5;82,3;;;;;;;;;
Пермский край;187,3;198,9;;;;;;;;;
Кировская область;119,6;107,3;;;;;;;;;
Нижегородская область;284,4;268,7;;;;;;;;;
Оренбургская область;110,3;109,8;;;;;;;;;
Пензенская область;87,7;83,1;;;;;;;;;
Самарская область;255,2;266,9;;;;;;;;;
Саратовская область;144,4;141,0;;;;;;;;;
Ульяновская область;91,4;81,8;;;;;;;;;
"Уральский     
федеральный округ";835,6;928,6;;;;;;;;;
Курганская область;53,4;43,2;;;;;;;;;
Свердловская область;303,4;393,2;;;;;;;;;
Тюменская область;241,6;243,7;;;;;;;;;
в том числе:;;;;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;92,2;93,4;;;;;;;;;
Ямало-Ненецкий автономный округ;25,8;21,9;;;;;;;;;
Тюменская область    без автономных округов;123,6;128,4;;;;;;;;;
Челябинская область;237,2;248,6;;;;;;;;;
"Сибирский 
федеральный округ";1210,8;1218,9;;;;;;;;;
Республика Алтай;11,6;10,1;;;;;;;;;
Республика Тыва;6,2;5,4;;;;;;;;;
Республика Хакасия;28,2;26,8;;;;;;;;;
Алтайский край;171,8;154,0;;;;;;;;;
Красноярский край;188,3;191,4;;;;;;;;;
Иркутская область;155,2;161,7;;;;;;;;;
Кемеровская область;190,2;169,2;;;;;;;;;
Новосибирская область;251,5;294,3;;;;;;;;;
Омская область;135,2;129,5;;;;;;;;;
Томская область;72,6;76,5;;;;;;;;;
"Дальневосточный 
федеральный округ";526,9;541,0;;;;;;;;;
Республика Бурятия;46,4;41,4;;;;;;;;;
Республика Саха (Якутия);44,8;43,3;;;;;;;;;
Забайкальский край;41,4;43,7;;;;;;;;;
Камчатский край;26,3;22,4;;;;;;;;;
Приморский край;153,8;158,4;;;;;;;;;
Хабаровский край;96,8;114,9;;;;;;;;;
Амурская область;47,6;48,5;;;;;;;;;
Магаданская область;13,0;10,8;;;;;;;;;
Сахалинская область;45,4;46,4;;;;;;;;;
Еврейская автономная область;10,2;9,3;;;;;;;;;
Чукотский автономный округ;1,2;2,1;;;;;;;;;
_______;;;;;;;;;;;
1) По данным сплошных федеральных статистических наблюдений за деятельностью субъектов малого и среднего предпринимательства.;;;;;;;;;;;
