Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.6. ЧИСЛЕННОСТЬ ОБУЧАЮЩИХСЯ В ОРГАНИЗАЦИЯХ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ НАЧАЛЬНОГО, ОСНОВНОГО И СРЕДНЕГО ОБЩЕГО ОБРАЗОВАНИЯ1);;;;;;;;;;;;;;;;;;;
"(на начало учебного года; тысяч человек)";;;;;;;;;;;;;;;;;;;
;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017 ;2017/2018 ;2018/2019
Российская Федерация;20073,8;19429,1;18439,6;17322,9;16168,0;15185,1;14362,3;13766,1;13436,5;13329,6;13317,7;13445,8;13537,3;13643,2;14191,6;14596,3;15219,0;15705,9;16137,3
Центральный федеральный округ;4577,7;4395,6;4183,9;3933,6;3672,4;3446,6;3266,8;3138,5;3077,9;3072,9;3095,4;3133,5;3171,9;3207,1;3306,6;3424,6;3569,8;3700,0;3816,6
Белгородская область;212,6;206,2;197,2;185,5;172,3;158,6;148,8;142,0;137,4;136,8;136,2;137,3;137,9;139,3;145,0;147,7;152,7;156,0;159,6
Брянская область;197,6;190,6;181,1;169,2;156,2;144,1;134,2;125,9;119,5;115,8;113,2;113,1;112,7;112,7;115,2;117,5;122,7;124,8;128,4
Владимирская область;198,2;187,6;176,0;163,7;150,4;139,4;130,8;125,0;122,3;121,1;121,9;122,9;123,6;125,2;128,4;132,3;137,3;140,5;142,6
Воронежская область;314,9;300,9;285,6;265,1;244,9;229,9;218,6;209,4;202,7;201,1;197,4;195,3;194,1;193,8;199,1;204,0;212,1;219,0;225,1
Ивановская область;148,1;140,7;132,1;122,6;112,7;103,7;95,9;90,3;87,0;85,9;85,3;86,3;86,9;87,5;89,5;92,0;95,6;98,1;99,7
Калужская область;137,3;131,4;123,4;113,7;104,7;97,7;92,4;88,0;86,5;86,3;86,5;88,3;88,8;90,4;93,7;97,0;101,1;105,1;108,2
Костромская область;102,5;97,5;91,6;84,0;76,7;71,0;66,7;63,4;61,6;61,1;61,3;61,3;62,3;62,6;63,9;65,5;68,2;69,8;71,1
Курская область;170,3;163,9;156,7;148,2;137,6;128,3;121,1;115,1;110,2;107,0;105,2;104,4;104,3;103,7;106,2;107,9;110,2;112,1;114,3
Липецкая область;166,0;159,8;152,1;140,9;130,0;121,4;115,0;109,2;106,5;105,0;105,0;104,3;104,8;105,4;108,3;111,3;115,7;118,8;120,7
Московская область ;781,4;749,8;715,8;679,5;645,6;616,4;594,1;581,4;584,9;598,4;612,7;636,6;634,6;656,8;692,5;731,1;776,5;820,2;861,0
