;;Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
;;2. ТРУД;;;;;;;;;
;;ЗАНЯТОСТЬ И БЕЗРАБОТИЦА;;;;;;;;;
2.1.;;Численность рабочей силы  ;;;;;;;;;
2.2.;;Уровень участия в рабочей силе  ;;;;;;;;;
2.3.;;Среднегодовая численность занятых   ;;;;;;;;;
2.4.;;Изменение среднегодовой численности занятых  ;;;;;;;;;
2.5.;;Уровень занятости населения ;;;;;;;;;
2.6.;;Численность безработных  ;;;;;;;;;
2.7.;;Численность зарегистрированных безработных  ;;;;;;;;;
2.8.;;Численность не занятых трудовой деятельностью граждан, обратившихся за содействием в поиске подходящей работы в органы службы занятости населения;;;;;;;;;
2.9.;;Уровень безработицы ;;;;;;;;;
2.9.1.;;Уровень безработицы;;;;;;;;;
2.9.2.;;Уровень  зарегистрированной безработицы;;;;;;;;;
2.10.;;Потребность в работниках, заявленная работодателями в органы службы занятости населения  ;;;;;;;;;
2.11.;;Нагрузка незанятого населения, состоящего на регистрационном учете в органах службы занятости населения, в расчете на одну заявленную вакансию ;;;;;;;;;
2.12.;;Численность иностранных граждан, имевших действующее разрешение на работу ;;;;;;;;;
2.13.;;Численность иностранных граждан, имевших действующий патент на осуществление трудовой деятельности;;;;;;;;;
;;КАДРЫ ГОСУДАРСТВЕННЫХ ОРГАНОВ И ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ;;;;;;;;;
2.14.;;Численность работников государственных органов и органов местного самоуправления  ;;;;;;;;;
2.15.;;Численность работников территориальных органов федеральных органов исполнительной власти   ;;;;;;;;;
2.16.;;Численность работников органов исполнительной власти субъектов Российской Федерации и органов местного самоуправления  ;;;;;;;;;
2.17.;;Численность работников органов местного самоуправления  ;;;;;;;;;
2.17.1.;;Всего;;;;;;;;;
2.17.2.;;В представительных органах;;;;;;;;;
2.17.3.;;В местных администрациях (исполнительно-распорядительных органах муниципальных образований);;;;;;;;;
