;Социально-экономические показатели по субъектам Российской Федерации
; 1. НАСЕЛЕНИЕ
1.1.;Численность населения
1.2.;Среднегодовая численность населения
1.3.;Удельный вес городского населения в общей численности населения
1.4.;Удельный вес сельского населения в общей численности населения
1.5.;Соотношение мужчин и женщин
1.6.;Возрастной состав населения
1.6.1.;Население моложе трудоспособного возраста
1.6.2.;Население в трудоспособном возрасте
1.6.3.;Население старше трудоспособного возраста
1.7.;Коэффициенты демографической нагрузки
1.7.1.; Всего
1.7.2.; Моложе трудоспособного возраста
1.7.3.;Старше трудоспособного возраста
1.8.;Изменение  численности населения  
1.9.;Общие коэффициенты рождаемости  
1.10.;Общие коэффициенты смертности 
1.11.;Смертность населения в трудоспособном возрасте  
1.12.;Смертность населения (без показателя смертности от внешних причин)  
1.13.;Коэффициенты младенческой  смертности 
1.14. ;Коэффициенты естественного прироста населения на 1000 человек населения 
1.15.;Суммарный коэффициент рождаемости 
1.16. ;Ожидаемая продолжительность жизни при рождении 
1.16.1.; Все население
1.16.2.; Мужчины
1.16.3.; Женщины
1.17.;Общие коэффициенты брачности на 1000 человек населения   
1.18.;Общие коэффициенты разводимости на 1000 человек населения 
1.19.;Соотношение браков и разводов 
1.20.;Коэффициенты миграционного прироста на 10 000 человек населения 
1.21.;Распределение числа прибывших по направлениям передвижения 
1.21.1.;В пределах региона
1.21.2.;Из других регионов
1.21.3.;Из-за пределов России
1.22.;Распределение числа выбывших по направлениям передвижения 
1.22.1.;В пределах региона
1.22.2.;В другие регионы России
1.22.3.;За пределы России
1.23.;Численность вынужденных переселенцев 
1.24.;Численность беженцев 
1.25.;Численность лиц, получивших временное убежище 
