;;Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
;;3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;
;;ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;
3.1.;Реальные доходы населения;Реальные доходы населения;;;;;;;;
3.1.1.;Реальные доходы населения  ;Реальные доходы населения  ;;;;;;;;
3.1.2.;Реальная начисленная заработная плата работников организаций;Реальная начисленная заработная плата работников организаций;;;;;;;;
3.1.3.;Реальный размер назначенных пенсий;Реальный размер назначенных пенсий;;;;;;;;
3.2.;Среднедушевые денежные доходы населения;Среднедушевые денежные доходы населения;;;;;;;;
3.3.;Среднемесячная номинальная начисленная заработная плата работников организаций;Среднемесячная номинальная начисленная заработная плата работников организаций;;;;;;;;
3.4.;Среднемесячная начисленная заработная плата работников органов местного самоуправления;Среднемесячная начисленная заработная плата работников органов местного самоуправления;;;;;;;;
3.4.1.;Всего;Всего;;;;;;;;
3.4.2.;В представительных органах муниципальных образований;В представительных органах муниципальных образований;;;;;;;;
3.4.3.;В местных администрациях (исполнительно-распорядительных органах муниципальных образований);В местных администрациях (исполнительно-распорядительных органах муниципальных образований);;;;;;;;
3.5.;Медианная заработная плата работников организаций;Медианная заработная плата работников организаций;;;;;;;;
3.6.;Средний размер назначенных пенсий  ;Средний размер назначенных пенсий  ;;;;;;;;
3.7.;Численность пенсионеров;Численность пенсионеров;;;;;;;;
3.7.1.;Всего;Всего;;;;;;;;
3.7.2.;на 1000 человек населения;на 1000 человек населения;;;;;;;;
3.8.;Численность занятых, приходящихся на одного пенсионера  ;Численность занятых, приходящихся на одного пенсионера  ;;;;;;;;
3.9.;Структура денежных доходов населения  ;Структура денежных доходов населения  ;;;;;;;;
3.10.;Структура социальных выплат  ;Структура социальных выплат  ;;;;;;;;
3.11.; Величина прожиточного минимума, установленная в целом по Российской Федерации  и в субъектах Российской Федерации  ; Величина прожиточного минимума, установленная в целом по Российской Федерации  и в субъектах Российской Федерации  ;;;;;;;;
3.12.;Величина прожиточного минимума пенсионера в целях установления социальной доплаты к пенсии  ;Величина прожиточного минимума пенсионера в целях установления социальной доплаты к пенсии  ;;;;;;;;
3.13.;Численность населения с денежными доходами ниже величины прожиточного минимума  ;Численность населения с денежными доходами ниже величины прожиточного минимума  ;;;;;;;;
3.14.;Потребительские расходы в среднем на душу населения  ;Потребительские расходы в среднем на душу населения  ;;;;;;;;
3.15.;Структура использования денежных доходов населения  ;Структура использования денежных доходов населения  ;;;;;;;;
3.16.;Структура потребительских расходов домашних хозяйств  ;Структура потребительских расходов домашних хозяйств  ;;;;;;;;
3.17.;Число собственных легковых автомобилей на 1000 человек населения  ;Число собственных легковых автомобилей на 1000 человек населения  ;;;;;;;;
;ПОТРЕБЛЕНИЕ ПРОДУКТОВ ПИТАНИЯ;ПОТРЕБЛЕНИЕ ПРОДУКТОВ ПИТАНИЯ;;;;;;;;
3.18.;Потребление мяса и мясопродуктов  (включая субпродукты II категории и жир-сырец) на душу населения ;Потребление мяса и мясопродуктов  (включая субпродукты II категории и жир-сырец) на душу населения ;;;;;;;;
3.19.;Потребление молока и молочных продуктов на душу населения ;Потребление молока и молочных продуктов на душу населения ;;;;;;;;
3.20.;Потребления яиц на душу населения ;Потребления яиц на душу населения ;;;;;;;;
3.21.;Потребления сахара на душу населения ;Потребления сахара на душу населения ;;;;;;;;
3.22.;Потребление растительного масла на душу населения ;Потребление растительного масла на душу населения ;;;;;;;;
3.23.;Потребление хлебных продуктов на душу населения ;Потребление хлебных продуктов на душу населения ;;;;;;;;
;ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;
3.24.;Жилищный фонд  ;Жилищный фонд  ;;;;;;;;
3.24.1.;Всего;Всего;;;;;;;;
3.24.2.;Городской жилищный фонд;Городской жилищный фонд;;;;;;;;
3.24.3.;Сельский жилищный фонд;Сельский жилищный фонд;;;;;;;;
3.25.;Общая площадь жилых помещений, приходящаяся в среднем на одного жителя;Общая площадь жилых помещений, приходящаяся в среднем на одного жителя;;;;;;;;
3.26.;Удельный вес аварийного жилищного фонда в общей площади всего жилищного фонда;Удельный вес аварийного жилищного фонда в общей площади всего жилищного фонда;;;;;;;;
3.27.;Предоставление гражданам жилых помещений;Предоставление гражданам жилых помещений;;;;;;;;
3.27.1.;Число семей, состоявших на учете в качестве нуждающихся в жилых помещениях;Число семей, состоявших на учете в качестве нуждающихся в жилых помещениях;;;;;;;;
3.27.2.;Удельный вес семей, состоявших на учете в качестве нуждающихся в жилых помещениях, в общем числе семей;Удельный вес семей, состоявших на учете в качестве нуждающихся в жилых помещениях, в общем числе семей;;;;;;;;
3.27.3.;Число семей, получивших жилые помещения и улучшивших жилищные условия за год;Число семей, получивших жилые помещения и улучшивших жилищные условия за год;;;;;;;;
3.27.4;Удельный вес семей, получивших жилые помещения, в числе семей, состоявших на учете в качестве нуждающихся в жилых помещениях;Удельный вес семей, получивших жилые помещения, в числе семей, состоявших на учете в качестве нуждающихся в жилых помещениях;;;;;;;;
3.28.;Удельный вес расходов домашних хозяйств на оплату жилищно-коммунальных услуг;Удельный вес расходов домашних хозяйств на оплату жилищно-коммунальных услуг;;;;;;;;
3.28.1.;В процентах от общей суммы потребительских расходов;В процентах от общей суммы потребительских расходов;;;;;;;;
3.28.2.;В процентах от общей суммы расходов на оплату услуг;В процентах от общей суммы расходов на оплату услуг;;;;;;;;
3.29.;Предоставление гражданам субсидий на оплату жилого помещения  и коммунальных услуг;Предоставление гражданам субсидий на оплату жилого помещения  и коммунальных услуг;;;;;;;;
3.29.1.;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;;;;;;;;
3.29.2.;Общая сумма начисленных субсидий на оплату жилого помещения и коммунальных услуг;Общая сумма начисленных субсидий на оплату жилого помещения и коммунальных услуг;;;;;;;;
3.29.3.; Среднемесячный размер субсидий на семью; Среднемесячный размер субсидий на семью;;;;;;;;
