Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;;;;
РАСТЕНИЕВОДСТВО;;;;;;;;;;;;;;;;;;;;;;
14.8. ПОСЕВНЫЕ ПЛОЩАДИ ЛЬНА-ДОЛГУНЦА;;;;;;;;;;;;;;;;;;;;;;
"(в хозяйствах всех категорий; тысяча гектаров)";;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;
Российская Федерация;107,6;127,3;110,8;118,1;112,3;95,7;84,3;73,9;76,9;69,5;51,2;55,5;57,2;55,2;50,5;52,6;48,5;47,5;44,8;;;
Центральный      федеральный округ;48,4;60,2;59,8;63,3;55,4;43,3;32,5;29,7;32,2;22,9;14,4;17,5;18,4;17,7;15,4;16,9;16,9;14,2;14,9;;;
Белгородская область;-;-;-;-;-;-;-;-;-;-;-;0,0;-;-;-;-;0,2;0,2;0,1;;;
Брянская область;1,3;3,9;2,0;4,9;5,0;4,3;2,9;2,3;1,9;1,1;0,5;0,8;1,2;1,9;2,1;2,2;1,8;2,0;2,7;;;
Владимирская область;0,1;0,3;0,7;0,7;0,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Воронежская область;-;-;-;-;-;-;-;-;-;-;0,0;-;-;-;-;-;-;-;-;;;
Ивановская область;3,2;4,2;5,0;4,1;3,6;3,6;2,0;1,7;2,3;1,5;1,0;1,9;0,9;0,6;0,3;0,3;0,1;-;0,4;;;
Калужская область;5,0;5,3;4,8;5,9;3,9;2,8;1,5;0,9;0,3;0,3;-;0,1;-;-;-;-;-;-;-;;;
Костромская область;5,0;4,9;5,4;3,5;2,8;1,3;1,5;3,2;4,4;2,4;1,4;2,2;2,3;1,5;0,4;0,3;0,1;0,0;  …1);;;
Курская область;-;-;-;-;0,0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
