1;RU;Россия
2;RU-SF;Регионы России
RU-AD;1 - Республика Адыгея;
RU-BA;2 - Республика Башкортостан;
RU-BU;3 - Республика Бурятия;
RU-AL;4 - Республика Алтай;
RU-DA;5 - Республика Дагестан;
RU-IN;6 - Республика Ингушетия;
RU-KB;7 - Кабардино-Балкарская Республика;
RU-KL;8 - Республика Калмыкия;
RU-KC;9 - Карачаево-Черкесская Республика;
RU-KR;10 - Республика Карелия;
RU-KO;11 - Республика Коми;
RU-ME;12 - Республика Марий Эл;
RU-MO;13 - Республика Мордовия;
RU-SA;14 - Республика Саха (Якутия);
RU-SE;15 - Республика Северная Осетия - Алания;
RU-TA;16 - Республика Татарстан;
RU-TY;17 - Республика Тыва;
RU-UD;18 - Удмуртская Республика;
RU-KK;19 - Республика Хакасия;
RU-CE;20 - Чеченская Республика;
RU-CU;21 - Чувашская Республика;
RU-ALT;22 - Алтайский край;
RU-KDA;23 - Краснодарский край;
RU-KYA;24 - Красноярский край;
RU-PRI;25 - Приморский край;
RU-STA;26 - Ставропольский край;
RU-KHA;27 - Хабаровский край;
RU-AMU;28 - Амурская область;
RU-ARK;29 - Архангельская область;
RU-AST;30 - Астраханская область;
RU-BEL;31 - Белгородская область;
RU-BRY;32 - Брянская область;
RU-VLA;33 - Владимирская область;
RU-VGG;34 - Волгоградская область;
RU-VLG;35 - Вологодская область;
RU-VOR;36 - Воронежская область;
RU-IVA;37 - Ивановская область;
RU-IRK;38 - Иркутская область;
RU-KGD;39 - Калининградская область;
RU-KLU;40 - Калужская область;
RU-KAM;41 - Камчатский край;
RU-KEM;42 - Кемеровская область;
RU-KIR;43 - Кировская область;
RU-KOS;44 - Костромская область;
RU-KGN;45 - Курганская область;
RU-KRS;46 - Курская область;
RU-LEN;47 - Ленинградская область;
RU-LIP;48 - Липецкая область;
RU-MAG;49 - Магаданская область;
RU-MOS;50 - Московская область;
RU-MUR;51 - Мурманская область;
RU-NIZ;52 - Нижегородская область;
RU-NGR;53 - Новгородская область;
RU-NVS;54 - Новосибирская область;
RU-OMS;55 - Омская область;
RU-ORE;56 - Оренбургская область;
RU-ORL;57 - Орловская область;
RU-PNZ;58 - Пензенская область;
RU-PER;59 - Пермский край;
RU-PSK;60 - Псковская область;
RU-ROS;61 - Ростовская область;
RU-RYA;62 - Рязанская область;
RU-SAM;63 - Самарская область;
RU-SAR;64 - Саратовская область;
RU-SAK;65 - Сахалинская область;
RU-SVE;66 - Свердловская область;
RU-SMO;67 - Смоленская область;
RU-TAM;68 - Тамбовская область;
RU-TVE;69 - Тверская область;
RU-TOM;70 - Томская область;
RU-TUL;71 - Тульская область;
RU-TYU;72 - Тюменская область;
RU-ULY;73 - Ульяновская область;
RU-CHE;74 - Челябинская область;
RU-ZAB;75 - Забайкальский край;
RU-YAR;76 - Ярославская область;
RU-MOW;77 - г. Москва;
RU-SPE;78 - г. Санкт-Петербург;
RU-YEV;79 - Еврейская автономная область;
RU-NEN;83 - Ненецкий автономный округ;
RU-KHM;86 - Ханты-Мансийский автономный округ - Югра;
RU-CHU;87 - Чукотский автономный округ;
RU-YAN;89 - Ямало-Ненецкий автономный округ;
2;RU-FO;Федеральные округа
RU-FOCE;Центральный федеральный округ;
RU-FOYU;Южный федеральный округ;
RU-FOSZ;Северо-Западный федеральный округ;
RU-FODV;Дальневосточный федеральный округ;
RU-FOSI;Сибирский федеральный округ;
RU-FOUR;Уральский федеральный округ;
RU-FOPV;Приволжский федеральный округ;
RU-FOSK;Северо-Кавказский федеральный округ;
2;CN;Страны мира
AU;Австралия;
AT;Австрия;
AZ;Азербайджан;
AX;Аландские острова;
AL;Албания;
DZ;Алжир;
VI;Американские Виргинские острова;
AS;Американское Самоа;
AI;Ангилья;
AO;Ангола;
AD;Андорра;
