СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
9. ПРЕСТУПНОСТЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число зарегистрированных преступлений, тыс.;2168,0;2760,7;2799,6;2632,7;2755,7;2625,1;2397,3;2581,9;3001,7;2952,4;2968,3;2526,3;2756,4;2893,8;3554,7;3855,4;3582,5;3209,9;2994,8;2628,8;2404,8;2302,2;2206,2;2190,6;2388,5;2160,1;2058,5
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;
убийство и покушение на убийство;;;;;31,7;29,4;29,3;29,6;31,1;31,8;33,6;32,3;31,6;31,6;30,8;27,5;22,2;20,1;17,7;15,6;14,3;13,3;12,4;11,9;11,5;10,4;9,7
умышленное причинение тяжкого вреда здоровью;;;;;61,7;53,4;46,1;45,2;47,7;49,8;55,7;58,5;57,1;57,4;57,9;51,4;47,3;45,4;43,1;39,7;38,5;37,1;34,8;32,9;30,2;27,4;24,6
изнасилование и покушение на изнасилование;;;;;12,5;10,9;9,3;9,0;8,3;7,9;8,2;8,1;8,1;8,8;9,2;8,9;7,0;6,2;5,4;4,9;4,8;4,5;4,2;4,2;3,9;3,9;3,5
грабеж;;;;;140,9;121,4;112,1;122,4;139,0;132,4;148,8;167,3;198,0;251,4;344,4;357,3;295,1;244,0;205,4;164,5;127,8;110,1;92,1;77,7;72,7;61,5;56,9
разбой;;;;;37,7;34,6;34,3;38,5;41,1;39,4;44,8;47,1;48,7;55,4;63,7;59,8;45,3;35,4;30,1;24,5;20,1;18,6;16,4;14,3;13,6;11,4;9,1
кража;;;;;1367,9;1207,5;1054,0;1143,4;1413,8;1310,1;1273,2;926,8;1150,8;1276,9;1573,0;1677,0;1567,0;1326,3;1188,6;1108,4;1038,6;992,2;922,6;908,9;1018,5;871,1;788,5
террористический акт1), единиц;;;;;1;-;32;21;20;135;327;360;561;265;203;112;48;10;15;31;29;24;31;33;8;25;37
преступления, связанные с незаконным оборотом наркотиков;;;;;79,9;96,8;184,8;190,1;216,4;243,6;241,6;189,6;181,7;150,1;175,2;212,0;231,2;232,6;238,5;222,6;215,2;219,0;231,5;254,7;236,9;201,2;208,7
нарушения правил дорожного движения и экспуатации транспортных средств;;;;;50,0;47,7;48;52,4;53,7;52,7;54,5;56,8;53,6;26,5;26,6;26,3;25,6;24,3;27,5;26,3;27,3;29,4;28,2;28,4;26,7;22,0;21,0
из них повлекшие по неосторожности смерть человека, двух или более лиц;;;;;14,4;13,1;13,2;14,4;15,1;15,4;15,5;16,1;17,6;16,0;15,7;15,8;15,5;13,6;10,6;10,3;10,9;11,6;10,9;10,6;9,5;7,9;7,5
взяточничество2);;;;;4,7;5,3;5,6;5,8;6,8;7,0;7,9;7,3;7,3;8,9;9,8;11,1;11,6;12,5;13,1;12,0;11,0;9,8;11,5;11,9;13,3;10,0;6,3
Число лиц, совершивших преступления, тыс.человек;956,3;1149,0;1262,6;1441,6;1595,5;1618,4;1372,2;1481,5;1716,7;1741,4;1644,2;1257,7;1236,7;1222,5;1297,1;1360,9;1317,6;1256,2;1219,8;1111,1;1041,3;1010,9;1012,6;1006,0;1075,3;1015,9;967,1
Число осужденных по приговорам судов, вступившим в законную силу, тыс.человек;593,8;661,4;792,4;924,6;1035,8;1111,1;1013,4;1071,1;1223,3;1183,6;1244,2;859,3;773,9;793,9;878,9;909,9;929,0;925,2;892,2;845,1;782,3;739,3;735,6;719,3;733,6;740,4;697,2
Число лиц, содержавшихся в местах лишения свободы, тыс.человек;721,7;750,3;842,3;929,0;1018,0;1047,9;1018,3;1014,5;1060,4;925,1;980,2;877,4;847,0;763,1;823,4;871,6;883,4;887,8;864,2;819,3;755,6;701,9;677,3;665,6;639,9;630,1;602,2
1)  До 2007 г. - терроризм.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2) До 2016 г. - преступления, предусмотренные ст. 290, 291 Уголовного Кодекса Российской Федерации; в 2017 г. - преступления предусмотренные ст. 290, 291, 291.1 Уголовного Кодекса Российской Федерации.";;;;;;;;;;;;;;;;;;;;;;;;;;;
